ativo,target,janela,tecnica,data,target_pred,resultado_real,valor_obtido
VALE3-50,1.01,15,RNA,2005-02-18,1,0.1712158808933002,117121.58808933002
VALE3-50,1.01,15,RNA,2005-02-21,1,0.0907003444316876,117121.58808933002
VALE3-50,1.01,15,RNA,2005-02-22,1,0.0982658959537572,117121.58808933002
VALE3-50,1.01,15,RNA,2005-02-23,1,0.0602678571428569,117121.58808933002
VALE3-50,1.01,15,RNA,2005-02-24,1,-0.0656084656084655,109437.42040516235
VALE3-50,1.01,15,RNA,2005-02-25,1,-0.0151351351351352,109437.42040516235
VALE3-50,1.01,15,RNA,2005-02-28,1,0.0585585585585584,109437.42040516235
VALE3-50,1.01,15,RNA,2005-03-01,1,0.1066048667439165,109437.42040516235
VALE3-50,1.01,15,RNA,2005-03-02,1,0.0437158469945355,114221.56993107109
VALE3-50,1.01,15,RNA,2005-03-03,1,0.0369163952225841,114221.56993107109
VALE3-50,1.01,15,RNA,2005-03-04,1,-0.063157894736842,114221.56993107109
VALE3-50,1.01,15,RNA,2005-03-07,1,-0.0430570505920343,114221.56993107109
VALE3-50,1.01,15,RNA,2005-03-08,1,0.0197152245345015,116473.47382894544
VALE3-50,1.01,15,RNA,2005-03-09,1,-0.0492341356673962,116473.47382894544
VALE3-50,1.01,15,RNA,2005-03-10,1,-0.0496688741721855,116473.47382894544
VALE3-50,1.01,15,RNA,2005-03-11,1,0.0157480314960629,116473.47382894544
VALE3-50,1.01,15,RNA,2005-03-14,1,0.0191873589164786,118708.2921755505
VALE3-50,1.01,15,RNA,2005-03-15,0,0.0436280137772673,118708.2921755505
VALE3-50,1.01,15,RNA,2005-03-16,1,0.0619158878504673,118708.2921755505
VALE3-50,1.01,15,RNA,2005-03-17,0,-0.0887902330743617,118708.2921755505
VALE3-50,1.01,15,Random Forest,2005-02-18,1,0.1712158808933002,117121.58808933002
VALE3-50,1.01,15,Random Forest,2005-02-21,1,0.0907003444316876,117121.58808933002
VALE3-50,1.01,15,Random Forest,2005-02-22,1,0.0982658959537572,117121.58808933002
VALE3-50,1.01,15,Random Forest,2005-02-23,1,0.0602678571428569,117121.58808933002
VALE3-50,1.01,15,Random Forest,2005-02-24,1,-0.0656084656084655,109437.42040516235
VALE3-50,1.01,15,Random Forest,2005-02-25,1,-0.0151351351351352,109437.42040516235
VALE3-50,1.01,15,Random Forest,2005-02-28,1,0.0585585585585584,109437.42040516235
VALE3-50,1.01,15,Random Forest,2005-03-01,1,0.1066048667439165,109437.42040516235
VALE3-50,1.01,15,Random Forest,2005-03-02,1,0.0437158469945355,114221.56993107109
VALE3-50,1.01,15,Random Forest,2005-03-03,1,0.0369163952225841,114221.56993107109
VALE3-50,1.01,15,Random Forest,2005-03-04,1,-0.063157894736842,114221.56993107109
VALE3-50,1.01,15,Random Forest,2005-03-07,1,-0.0430570505920343,114221.56993107109
VALE3-50,1.01,15,Random Forest,2005-03-08,1,0.0197152245345015,116473.47382894544
VALE3-50,1.01,15,Random Forest,2005-03-09,1,-0.0492341356673962,116473.47382894544
VALE3-50,1.01,15,Random Forest,2005-03-10,1,-0.0496688741721855,116473.47382894544
VALE3-50,1.01,15,Random Forest,2005-03-11,1,0.0157480314960629,116473.47382894544
VALE3-50,1.01,15,Random Forest,2005-03-14,1,0.0191873589164786,118708.2921755505
VALE3-50,1.01,15,Random Forest,2005-03-15,1,0.0436280137772673,118708.2921755505
VALE3-50,1.01,15,Random Forest,2005-03-16,1,0.0619158878504673,118708.2921755505
VALE3-50,1.01,15,Random Forest,2005-03-17,0,-0.0887902330743617,118708.2921755505
VALE3-50,1.01,15,SVC,2005-02-18,1,0.1712158808933002,117121.58808933002
VALE3-50,1.01,15,SVC,2005-02-21,1,0.0907003444316876,117121.58808933002
VALE3-50,1.01,15,SVC,2005-02-22,1,0.0982658959537572,117121.58808933002
VALE3-50,1.01,15,SVC,2005-02-23,1,0.0602678571428569,117121.58808933002
VALE3-50,1.01,15,SVC,2005-02-24,1,-0.0656084656084655,109437.42040516235
VALE3-50,1.01,15,SVC,2005-02-25,1,-0.0151351351351352,109437.42040516235
VALE3-50,1.01,15,SVC,2005-02-28,1,0.0585585585585584,109437.42040516235
VALE3-50,1.01,15,SVC,2005-03-01,1,0.1066048667439165,109437.42040516235
