data,PETR4_esmble_jan_tot,PETR4_rend_decisao_esmble_jan_tot,VALE3_esmble_jan_tot,VALE3_rend_decisao_esmble_jan_tot,ITUB4_esmble_jan_tot,ITUB4_rend_decisao_esmble_jan_tot
2020-06-04,1,0.0,1,0.0,1,0.0
2020-06-05,1,0.0331986179337594,0,0.0054974231525936,1,0.0191761487670174
2020-06-08,1,0.0017738051012631,1,-0.0131228924336304,1,0.0315103223026373
2020-06-09,1,-0.0226163878772187,0,-0.0248270874482987,1,0.0243017999946181
2020-06-10,1,-0.0288248548660854,0,-0.0211030360694077,1,0.0021344530469329
2020-06-12,1,-0.0611973199346969,0,0.0,1,-0.0618996794442666
2020-06-15,1,0.0646137256506375,1,0.0,1,-0.0754179822754365
2020-06-16,1,0.0162338751176302,1,0.0001802134355723,1,-0.0547847958742524
2020-06-17,1,0.0172252613786752,0,0.017120216735658,1,0.0290297546787296
2020-06-18,1,0.0278565419844007,0,0.0,1,0.0532075594671616
2020-06-19,1,0.0099999785992081,0,0.0,1,0.0049822028528361
2020-06-22,1,-0.0181818070645236,1,0.0,1,0.0049822028528361
2020-06-23,1,0.0031818391657116,0,0.0185485534260842,0,-0.0124555372029659
2020-06-24,1,-0.0200001100612153,1,0.0,0,-0.0419928955751547
2020-06-25,1,0.0267812986062202,1,0.0117117328787233,1,0.0
2020-06-26,1,0.0122583144215156,1,0.0261261504090938,1,0.019836629698914
2020-06-29,1,0.0212164353883355,0,0.0084776405737095,1,0.0239381881135323
2020-06-30,1,0.0215558629271275,1,0.0198412966103825,1,0.0034324964178092
2020-07-01,1,0.0229884151079052,1,0.0,1,0.0002077351601652
2020-07-02,0,0.0049773653061096,0,-0.0060627642653456,1,0.0398954633876609
2020-07-03,0,0.003619998876977,1,-0.0067760341210454,0,0.0113679957083452
2020-07-06,1,0.0343891523900986,0,0.0117688936028409,1,0.0553239855096487
2020-07-07,0,0.0058192835252721,0,0.0,0,0.0102078163129991
2020-07-08,1,0.0188004842453176,0,0.0,1,-0.0131243528522775
2020-07-09,1,0.0013168479325561,0,0.0,1,-0.0094787129654168
2020-07-10,1,-0.0057067347175884,1,0.0,0,-0.004374804808917
2020-07-13,0,-0.0057067347175884,1,0.0258098307213415,0,0.0
2020-07-14,1,0.0079016781101047,1,0.0699240225338179,0,0.0
2020-07-15,1,0.0099138380898263,0,0.0101123770397181,0,0.0
2020-07-16,0,0.0034482158802314,0,-0.009791321791919,0,0.0
2020-07-17,1,-0.0073276761796528,0,-0.0168539263168245,1,0.0
2020-07-20,1,-0.0125,0,-0.0130015820875874,1,0.0102752442787784
2020-07-21,1,0.0194384706524272,0,0.0,1,0.0289908412231793
2020-07-22,1,0.0047210204413011,0,0.0,0,0.0
2020-07-23,1,-0.0029852598913886,1,0.0,1,-0.0254937105669085
2020-07-24,0,-0.0102816316957439,1,0.0047806252056684,1,-0.0348294167715587
2020-07-27,1,-0.0021269056596965,1,0.0522451780044338,1,0.0025134686929265
2020-07-28,0,0.0121527739767365,0,0.0075782320317487,0,0.0194805131500987
2020-07-29,1,0.0091146169725476,1,0.0370675424078902,1,0.0
2020-07-30,0,-0.005208290001464,0,0.0011236004001942,0,0.0129170904539339
2020-07-31,0,0.0043402659945501,1,-0.0014446025239346,0,0.0039469106339993
2020-08-03,1,0.0,1,0.0059390306867405,0,-0.0051858653232498
2020-08-04,1,0.0274930293105093,1,-0.0234349878130752,1,-0.0418047819748214
2020-08-05,1,0.0472334895181496,1,0.0161550786173173,1,0.0057361265588598
2020-08-06,1,0.0107388018305367,1,0.0041520196742684,1,0.0057361265588598
2020-08-07,1,-0.0158935422733786,0,-0.0196422926583902,1,0.0114722531177197
2020-08-10,1,0.0073023563537189,0,-0.0067071249669208,0,-0.0026768590608012
2020-08-11,1,0.025773124393288,1,0.0031938551895238,1,0.0
2020-08-12,1,0.013698563086882,1,0.0231603345551994,0,0.0066173482311498
2020-08-13,0,0.009417753124699,1,0.0123778499697295,0,-0.005449580896241
2020-08-14,1,-0.016267106648399,1,0.0004886014686505,0,-0.0186842773585407
2020-08-17,1,-0.0222603269717659,1,0.0195439778918953,0,-0.0365901088687435
2020-08-18,1,0.0135192808254738,1,0.0063191166041306,0,0.0
2020-08-19,0,0.0170081795308165,0,0.0091627046976652,0,0.0
2020-08-20,1,0.0,1,0.0031595452308615,1,0.0
