data,PETR4_in_precision,PETR4_rend_decisao_in_precision,VALE3_in_precision,VALE3_rend_decisao_in_precision,ITUB4_in_precision,ITUB4_rend_decisao_in_precision
2020-06-04,1.0,0.0,1.0,0.0,1.0,0.0
2020-06-05,1.0,0.0331986179337594,1.0,0.0054974231525936,1.0,0.0191761487670174
2020-06-08,1.0,0.0017738051012631,1.0,-0.0131228924336304,1.0,0.0315103223026373
2020-06-09,1.0,-0.0226163878772187,1.0,-0.0248270874482987,1.0,0.0243017999946181
2020-06-10,1.0,-0.0288248548660854,1.0,-0.0211030360694077,1.0,0.0021344530469329
2020-06-12,1.0,-0.0611973199346969,1.0,0.0063302890006572,1.0,-0.0618996794442666
2020-06-15,1.0,0.0646137256506375,1.0,0.0134053215084709,1.0,-0.0754179822754365
2020-06-16,1.0,0.0162338751176302,1.0,0.0001802134355723,1.0,-0.0547847958742524
2020-06-17,1.0,0.0172252613786752,1.0,0.017120216735658,1.0,0.0290297546787296
2020-06-18,1.0,0.0278565419844007,1.0,0.0042628959863608,1.0,0.0532075594671616
2020-06-19,1.0,0.0099999785992081,0.0,0.005328590590155,1.0,0.0049822028528361
2020-06-22,1.0,-0.0181818070645236,1.0,-0.016873875100957,1.0,0.0049822028528361
2020-06-23,1.0,0.0031818391657116,1.0,0.0046181373185574,1.0,-0.0124555372029659
2020-06-24,1.0,-0.0200001100612153,1.0,0.0001777785518224,1.0,-0.0419928955751547
2020-06-25,1.0,0.0267812986062202,1.0,-0.0017777560993002,1.0,0.0115251270571308
2020-06-26,1.0,0.0122583144215156,1.0,0.0124444692086401,1.0,0.019836629698914
2020-06-29,1.0,0.0265403014315464,1.0,0.0084776405737095,1.0,0.0239381881135323
2020-06-30,1.0,0.0215558629271275,1.0,0.0198412966103825,1.0,0.0034324964178092
2020-07-01,1.0,0.0229884151079052,1.0,0.0,1.0,0.0002077351601652
2020-07-02,1.0,0.0049773653061096,1.0,-0.0060627642653456,1.0,0.0398954633876609
2020-07-03,1.0,0.003619998876977,1.0,-0.0067760341210454,0.0,0.0113679957083452
2020-07-06,1.0,0.0343891523900986,1.0,0.0117688936028409,1.0,0.0
2020-07-07,1.0,0.0058192835252721,0.0,0.0042298094487336,1.0,0.0102078163129991
2020-07-08,1.0,0.0188004842453176,1.0,0.0172717826757965,1.0,0.0157598090740282
2020-07-09,1.0,0.0013168479325561,0.0,0.0027816532522267,1.0,0.0055514067074569
2020-07-10,1.0,-0.0057067347175884,1.0,-0.0038247444524375,1.0,0.0107327613069516
2020-07-13,0.0,-0.0057067347175884,1.0,0.0295549507274119,1.0,0.0036429837751949
2020-07-14,1.0,0.0079016781101047,1.0,0.0699240225338179,1.0,-0.0010928889795972
2020-07-15,1.0,0.0099138380898263,0.0,0.0101123770397181,1.0,0.0127504739779883
2020-07-16,0.0,0.0034482158802314,0.0,0.0,0.0,0.0055208208941167
2020-07-17,1.0,-0.0073276761796528,1.0,0.0,1.0,0.0084652669928064
2020-07-20,1.0,-0.0125,0.0,0.0060536640709473,1.0,0.0132499452803979
2020-07-21,1.0,0.0194384706524272,1.0,-0.0104712224746318,1.0,0.0159420256153362
2020-07-22,1.0,0.0047210204413011,1.0,-0.0142343007066315,1.0,0.0
2020-07-23,1.0,-0.0029852598913886,1.0,-0.0157068201745266,1.0,-0.0254937105669085
2020-07-24,0.0,-0.0102816316957439,1.0,0.0047806252056684,1.0,-0.0348294167715587
2020-07-27,1.0,-0.0021269056596965,1.0,0.0522451780044338,1.0,0.0025134686929265
2020-07-28,1.0,0.0121527739767365,1.0,0.0075782320317487,1.0,0.0194805131500987
2020-07-29,1.0,0.0095527012858815,1.0,0.0370675424078902,1.0,0.0120781527957368
2020-07-30,0.0,-0.0047764236546139,1.0,0.0011236004001942,1.0,0.0129170904539339
2020-07-31,0.0,0.0047762776312676,1.0,-0.0014446025239346,1.0,0.0014316499150185
2020-08-03,1.0,-0.0208424962983082,1.0,0.0059390306867405,1.0,-0.0076782450388855
2020-08-04,1.0,0.0274930293105093,1.0,-0.0234349878130752,1.0,-0.0442054176732688
2020-08-05,1.0,0.0472334895181496,1.0,0.0161550786173173,1.0,-0.0581716664494478
2020-08-06,1.0,0.0107388018305367,1.0,0.0041520196742684,1.0,0.0233463247146463
2020-08-07,1.0,0.0021872206762671,1.0,-0.0196422926583902,1.0,0.0319937620696397
2020-08-10,1.0,0.0258092922455172,1.0,-0.0067071249669208,1.0,0.0219435977207947
2020-08-11,1.0,0.0071699223805657,1.0,0.0031938551895238,1.0,0.0065084100461187
2020-08-12,1.0,-0.0012653137931401,1.0,0.0231603345551994,1.0,-0.0099541035206086
2020-08-13,1.0,-0.005482931879993,1.0,0.0123778499697295,0.0,-0.021822380663531
2020-08-14,1.0,-0.0307886404011105,1.0,0.0178956042179752,0.0,-0.0348392007557686
2020-08-17,1.0,0.0070547139940537,1.0,0.0132729078758558,0.0,0.0
2020-08-18,1.0,0.0246913507023797,1.0,0.0063191166041306,0.0,0.0
2020-08-19,1.0,0.0161219301653134,1.0,0.0091627046976652,0.0,0.0
2020-08-20,1.0,0.0155416970429321,1.0,0.0031595452308615,1.0,0.0
2020-08-21,1.0,0.0039928307487058,1.0,-0.0080568808594284,1.0,0.01380178230813
2020-08-24,1.0,0.0261757045454444,1.0,0.0030187348178863,1.0,0.0239175171518604
2020-08-25,1.0,0.0025985787192977,1.0,-0.0015888216367482,1.0,0.0024350569451417
