data,PETR4_esmble_jan_par,PETR4_rend_decisao_esmble_jan_par,VALE3_esmble_jan_par,VALE3_rend_decisao_esmble_jan_par,ITUB4_esmble_jan_par,ITUB4_rend_decisao_esmble_jan_par
2020-06-04,1,0.0,1,0.0,1,0.0
2020-06-05,1,0.0331986179337594,0,0.0054974231525936,1,0.0191761487670174
2020-06-08,1,0.0017738051012631,1,-0.0131228924336304,0,0.0113636370456091
2020-06-09,1,-0.0226163878772187,0,-0.0248270874482987,1,0.0028409242648047
2020-06-10,1,-0.0288248548660854,0,-0.0211030360694077,1,0.0003551005296981
2020-06-12,1,-0.0611973199346969,1,0.0,1,0.0177537598539687
2020-06-15,1,0.0646137256506375,1,0.0367619070673876,1,0.0030876274246383
2020-06-16,1,0.0162338751176302,1,0.0001802134355723,1,0.0254727631904301
2020-06-17,1,0.0134508359646275,1,0.017120216735658,1,0.0290297546787296
2020-06-18,1,0.0097403250705782,1,0.0189223510913799,1,0.0532075594671616
2020-06-19,1,0.0306123388057701,0,0.0200036018829636,1,0.0049822028528361
2020-06-22,1,0.0,1,0.0,1,0.0049822028528361
2020-06-23,1,0.021759269062189,1,0.0185485534260842,1,-0.0124555372029659
2020-06-24,1,0.0032571939088251,1,0.0131460447774961,1,-0.0419928955751547
2020-06-25,1,-0.0009308056774138,1,0.0111651547400479,1,0.0115251270571308
2020-06-26,1,-0.0009308056774138,1,0.0255717848688812,1,0.007299260121071
2020-06-29,1,0.007910596333771,1,0.0084776405737095,1,0.0188243871782019
2020-06-30,1,0.0215558629271275,0,0.0198412966103825,1,0.0107568112230984
2020-07-01,1,0.0229884151079052,0,0.0115440320031082,1,0.0238281212115293
2020-07-02,1,0.0049773653061096,0,0.005411278993056,1,0.0283018916026709
2020-07-03,1,0.003619998876977,0,0.0,1,0.0113679957083452
2020-07-06,1,0.0343891523900986,1,0.0,1,0.0553239855096487
2020-07-07,1,0.0058192835252721,0,0.0042298094487336,0,0.0102078163129991
2020-07-08,1,0.0188004842453176,0,0.0172717826757965,1,-0.0131243528522775
2020-07-09,1,0.0210385081005112,0,0.0165668095735301,1,-0.0094787129654168
2020-07-10,1,0.0207301535195901,1,0.0098695942668643,0,-0.004374804808917
2020-07-13,1,0.0017692467872441,1,0.0258098307213415,1,0.0
2020-07-14,1,0.0154799797715373,1,0.0699240225338179,1,0.0250467107735576
2020-07-15,1,0.0362672536887195,1,0.0101123770397181,0,0.0094407917170171
2020-07-16,1,0.0051812568664504,0,-0.009791321791919,0,-0.0079884093978864
2020-07-17,1,-0.0056132460816762,0,-0.0168539263168245,1,-0.0050835221025581
2020-07-20,1,-0.0107945029481266,0,-0.0130015820875874,1,-0.0003631262440493
2020-07-21,1,0.0189982322565694,0,0.0,1,0.0159420256153362
2020-07-22,0,0.0047210204413011,0,0.0,0,0.009057931548016
2020-07-23,0,-0.0029852598913886,1,0.0,1,-0.0166666993041124
2020-07-24,1,-0.0102816316957439,1,0.0047806252056684,1,-0.0260869676965168
2020-07-27,1,-0.0021269056596965,1,0.0522451780044338,1,0.0484416058285367
2020-07-28,0,0.0121527739767365,1,0.0075782320317487,0,0.0194805131500987
2020-07-29,0,0.0091146169725476,1,0.0370675424078902,1,0.0277778183979766
2020-07-30,0,-0.005208290001464,1,0.0011236004001942,1,0.0129170904539339
2020-07-31,0,0.0043402659945501,1,-0.0014446025239346,0,0.0039469106339993
2020-08-03,1,0.0,1,0.0059390306867405,1,-0.0051858653232498
2020-08-04,1,0.0274930293105093,1,-0.0234349878130752,1,-0.0418047819748214
2020-08-05,1,0.0472334895181496,1,0.0161550786173173,1,0.0057361265588598
2020-08-06,1,0.0107388018305367,0,0.0158319754409505,1,0.0057361265588598
2020-08-07,0,-0.0158935422733786,0,-0.0082391042636786,1,0.0114722531177197
2020-08-10,1,0.0073023563537189,1,0.0048465209118278,1,-0.0026768590608012
2020-08-11,1,0.025773124393288,1,0.0004777851641342,1,0.0065084100461187
2020-08-12,1,0.013698563086882,1,-0.007963033359414,0,-0.0099541035206086
2020-08-13,0,0.009417753124699,1,-0.0100334357373288,0,-0.021822380663531
2020-08-14,1,-0.016267106648399,1,-0.0216594886884381,0,-0.0348392007557686
2020-08-17,1,-0.0222603269717659,1,0.0132729078758558,0,0.0
2020-08-18,1,0.0135192808254738,0,0.0310780197041306,0,0.0
2020-08-19,1,0.0170081795308165,0,0.0,1,0.0
