Exchange Date,Close,Open,Low,High,Volume,data_adicional,ibov_status
2022-01-03,15.939388,15.687441,15.628159,16.161695,36138186.386181,0,1
2022-01-04,16.391412,16.020901,15.880106,16.435873,48343455.165654,0,1
2022-01-05,16.080182,16.369181,15.954209,16.465514,34807186.519281,0,1
2022-01-06,16.406232,16.035721,15.946798,16.480334,39441486.055851,0,1
2022-01-07,16.769333,16.369181,16.213566,16.784153,47174925.282507,0,1
2022-01-10,16.924948,16.724872,16.532206,16.954589,45753285.424671,0,1
2022-01-11,17.302869,16.887897,16.821205,17.302869,61516173.848383,0,1
2022-01-12,17.228767,17.236177,16.99164,17.414022,45849535.415046,0,1
2022-01-13,17.547406,17.110203,17.080562,17.651149,47756055.224394,0,1
2022-01-14,17.414022,17.465894,17.34733,17.67338,32915406.708459,0,1
2022-01-17,17.414022,17.384381,17.154665,17.599278,19367918.063208,0,1
2022-01-18,17.517765,17.33251,17.243587,17.754893,47950535.204946,0,1
2022-01-19,17.399202,17.651149,17.33992,17.843815,34017826.598217,0,1
2022-01-20,17.258408,17.443663,17.176895,17.539996,28535867.146413,0,1
2022-01-21,17.265818,17.176895,17.132434,17.525176,41332495.86675,0,1
2022-01-24,17.243587,17.302869,16.947178,17.451073,43612905.638709,0,1
2022-01-25,17.866046,17.087973,17.043511,17.895687,43286755.671324,0,1
2022-01-26,18.058712,18.029071,17.643739,18.155045,61470523.852948,0,1
2022-01-27,18.125404,18.147634,17.932738,18.466274,45699165.430083,0,1
2022-01-28,18.369941,17.903097,17.880866,18.384761,32389166.761083,0,1
2022-01-31,18.770093,18.281018,18.169865,18.903477,48669275.133072,0,1
2022-02-01,18.901831,18.753523,18.671954,19.050139,31649416.835058,0,1
2022-02-02,18.605215,18.887,18.479154,18.916662,37956706.204329,0,1
2022-02-03,18.820262,18.686785,18.323431,18.931493,45885175.411482,0,1
2022-02-04,18.879585,18.716446,18.686785,19.102047,38053286.194671,0,1
2022-02-07,18.775769,18.87217,18.709031,18.946323,25404827.459517,0,1
2022-02-08,18.9834,18.746108,18.560723,19.072385,41067285.893271,0,1
2022-02-09,18.227031,18.5014,18.219615,18.842508,97982930.201707,0,1
2022-02-10,18.575554,18.204784,18.138046,18.768354,66343303.36567,0,1
2022-02-11,19.673032,19.539555,19.406078,20.021555,176736872.326313,0,1
2022-02-14,19.628539,19.724939,19.480232,19.791678,41789435.821056,0,1
2022-02-15,19.813924,19.873247,19.650786,19.947401,32365076.763492,0,1
2022-02-16,19.606293,19.858417,19.561801,19.925155,43114605.688539,0,1
2022-02-17,19.331924,19.576632,19.250354,19.635955,37081656.291834,0,1
2022-02-18,19.406078,19.443155,19.324508,19.687863,29002377.099762,0,1
2022-02-21,18.931493,19.45057,18.709031,19.487647,24661447.533855,0,1
2022-02-22,19.104852,19.104852,18.911949,19.394207,33318996.6681,0,1
2022-02-23,18.837755,19.119691,18.793239,19.349691,24763197.52368,0,1
2022-02-24,18.518723,18.362916,18.058723,18.644852,48436515.156348,0,1
2022-02-25,18.89711,18.451949,18.407433,18.919368,42786805.721319,0,1
2022-03-02,18.583537,18.68748,18.494443,18.865668,35717766.428223,0,1
2022-03-03,18.598386,18.590961,18.338528,19.192346,48997185.100281,0,1
2022-03-04,18.316255,18.613235,18.026699,18.657782,33368826.663117,0,1
2022-03-07,17.922756,18.019274,17.833662,18.152916,58147644.185236,0,1
2022-03-08,17.751992,17.989576,17.662898,18.16034,47830745.216925,0,1
2022-03-09,18.635508,17.974727,17.937605,18.791423,56756474.324353,0,1
2022-03-10,18.650357,18.368226,18.175189,18.650357,32575836.742416,0,1
2022-03-11,18.442471,18.732027,18.397924,18.999309,47232235.276776,0,1
2022-03-14,18.702329,18.576112,18.568688,18.962187,35117276.488272,0,1
2022-03-15,18.635508,18.642933,18.338528,18.887942,40420815.957918,0,1
2022-03-16,18.999309,18.821121,18.665206,19.051281,44276865.572313,0,1
2022-03-17,19.415081,19.036432,18.902791,19.444779,47123445.287655,0,1
2022-03-18,19.556147,19.370534,19.355685,19.749184,70745392.925461,0,1
2022-03-21,20.03874,19.630392,19.570996,20.112985,39323236.067676,0,1
2022-03-22,20.313447,20.194654,20.120409,20.439663,40442045.955795,0,1
2022-03-23,20.224353,20.33572,20.172381,20.521333,29659187.034081,0,1
2022-03-24,20.357994,20.291173,20.216928,20.588153,52102704.78973,0,1
2022-03-25,20.395116,20.432239,20.142683,20.432239,35218586.478141,0,1
2022-03-28,20.380267,20.447088,20.135258,20.573304,23623267.637673,0,1
2022-03-29,20.617851,20.573304,20.33572,20.848011,32830706.716929,0,1
2022-03-30,20.662398,20.669823,20.432239,20.758917,36211446.378855,0,1
2022-03-31,20.402541,20.699521,20.261475,20.788615,44898695.51013,0,1
2022-04-01,20.460223,20.579092,20.304208,20.712818,44099765.590023,0,1
2022-04-04,20.274491,20.39336,20.073901,20.437935,27605927.239407,0,1
2022-04-05,19.865881,20.229916,19.77673,20.259633,40380665.961933,0,1
2022-04-06,19.858452,19.739583,19.657861,19.992179,36893666.310633,0,1
2022-04-07,19.843593,19.695008,19.620715,19.88074,25901367.409863,0,1
2022-04-08,19.806447,19.732154,19.620715,19.98475,28685137.131486,0,1
2022-04-11,19.732154,19.761871,19.643003,19.858452,29889967.011003,0,1
2022-04-12,19.382978,19.910457,19.323544,19.98475,32601906.739809,0,1
2022-04-13,19.434983,19.524134,19.293827,19.717296,37227736.277226,0,1
2022-04-14,19.561281,19.36812,19.323544,19.665291,25751657.424834,0,1
2022-04-18,19.67272,19.494417,19.47213,19.732154,23090867.690913,0,1
2022-04-19,19.323544,19.702437,19.130383,19.769301,37825696.21743,0,1
2022-04-20,19.449842,19.330973,19.212105,19.501847,27616157.238384,0,1
2022-04-22,19.070949,19.241822,18.914934,19.330973,33698166.630183,0,1
2022-04-25,18.996656,18.944651,18.640051,19.05609,41009645.899035,0,1
2022-04-26,18.350309,18.766348,18.313163,18.944651,46283705.371629,0,1
2022-04-27,18.201724,18.565758,18.127431,18.64748,26826907.317309,0,1
2022-04-28,18.053138,18.209153,17.874835,18.268587,39868946.013105,0,1
2022-04-29,17.733679,18.172006,17.733679,18.536041,49134025.086597,0,1
2022-05-02,17.657577,17.746794,17.427099,17.902924,43203045.679695,0,1
2022-05-03,17.746794,17.694751,17.605534,17.962402,28796787.120321,0,1
2022-05-04,17.72449,17.665012,17.39736,17.72449,52043854.795615,0,1
2022-05-05,17.315578,17.538621,17.025622,17.538621,44237155.576284,0,1
2022-05-06,17.687316,17.308143,17.300708,18.007011,66403143.359686,0,1
2022-05-09,17.434534,17.650142,17.107404,17.769098,61877303.81227,0,1
