Exchange Date,Close,Open,Low,High,Volume
16-set.-2020,"6,461651","6,497334","6,422994","6,538964",50028700.0
17-set.-2020,"6,586542","6,396231","6,381363","6,592489",59981900.0
18-set.-2020,"6,437862","6,538964","6,408126","6,586542",63612700.0
21-set.-2020,"6,214841","6,330812","6,188079","6,381363",72733900.0
22-set.-2020,"6,185105","6,232683","6,170237","6,348653",46689800.0
23-set.-2020,"6,015609","6,185105","6,006689","6,232683",56396300.0
24-set.-2020,"6,066161","6,018583","5,965058","6,158343",76033500.0
25-set.-2020,"5,985873","5,99182","5,908559","6,02453",39909500.0
28-set.-2020,"5,837193","6,045345","5,837193","6,113738",48198300.0
29-set.-2020,"5,742037","5,837193","5,724196","5,905586",52488700.0
30-set.-2020,"5,831246","5,798536","5,777721","5,959111",68791100.0
1-out.-2020,"5,902612","5,840166","5,688512","5,965058",76064500.0
2-out.-2020,"5,655803","5,866929","5,655803","5,869903",83732400.0
5-out.-2020,"5,956137","5,756905","5,721222","5,994794",72633800.0
6-out.-2020,"5,926401","6,086976","5,926401","6,155369",76272200.0
7-out.-2020,"5,884771","5,947216","5,816378","5,962084",52972500.0
8-out.-2020,"6,078055","5,959111","5,905586","6,122659",77718500.0
9-out.-2020,"5,887744","6,048319","5,887744","6,063187",67290200.0
13-out.-2020,"5,985873","5,920454","5,866929","5,985873",54825900.0
14-out.-2020,"5,938296","5,973979","5,938296","6,05724",43909700.0
15-out.-2020,"5,872876","5,834219","5,780694","5,878823",56247400.0
16-out.-2020,"5,747985","5,849087","5,745011","5,860982",49142500.0
19-out.-2020,"5,804483","5,771773","5,724196","5,929375",107219900.0
20-out.-2020,"6,000741","5,849087","5,825298","6,027504",68008500.0
21-out.-2020,"5,994794","5,994794","5,896665","6,045345",60195500.0
22-out.-2020,"6,196999","5,976952","5,962084","6,196999",98359400.0
23-out.-2020,"6,116712","6,226736","6,107791","6,286208",61328500.0
26-out.-2020,"6,021557","6,045345","5,956137","6,104818",57573100.0
27-out.-2020,"5,911533","6,02453","5,890718","6,05724",47473400.0
28-out.-2020,"5,551726","5,753932","5,551726","5,780694",78431300.0
29-out.-2020,"5,73609","5,48036","5,275181","5,759879",85502000.0
30-out.-2020,"5,632014","5,691486","5,611199","5,81043",63575300.0
3-nov.-2020,"5,84314","5,80151","5,747985","5,91748",66290900.0
4-nov.-2020,"5,863955","5,95019","5,730143","5,968032",65777600.0
5-nov.-2020,"5,914507","5,932348","5,863955","5,944243",40874800.0
6-nov.-2020,"5,872876","5,813404","5,81043","5,932348",37273300.0
9-nov.-2020,"6,425967","6,277287","6,256472","6,747117",164904100.0
10-nov.-2020,"6,863088","6,509228","6,485439","6,883903",163589600.0
11-nov.-2020,"6,803615","6,943375","6,660882","6,946349",93072900.0
12-nov.-2020,"6,515175","6,761985","6,473545","6,785774",77275000.0
13-nov.-2020,"6,729275","6,547885","6,509228","6,779827",66065200.0
16-nov.-2020,"6,925533","6,898771","6,877956","7,026636",101583300.0
17-nov.-2020,"7,044478","6,854167","6,833352","7,17829",94082100.0
18-nov.-2020,"7,002847","7,133686","7,002847","7,175317",68540400.0
19-nov.-2020,"7,083135","7,002847","6,949322","7,118818",65382100.0
20-nov.-2020,"7,032583","7,089082","6,979058","7,133686",38137700.0
23-nov.-2020,"7,463757","7,151528","7,148554","7,463757",125645300.0
24-nov.-2020,"7,796801","7,624331","7,624331","7,930613",153293500.0
25-nov.-2020,"7,805721","7,790853","7,633252","7,880062",73971200.0
26-nov.-2020,"7,677856","7,71354","7,600542","7,716513",41935900.0
27-nov.-2020,"7,582701","7,707592","7,567833","7,749223",49863500.0
30-nov.-2020,"7,404284","7,511334","7,386443","7,695698",90207700.0
1-dez.-2020,"7,612437","7,552965","7,520255","7,662988",58866000.0
2-dez.-2020,"7,704619","7,612437","7,532149","7,880062",88089900.0
3-dez.-2020,"7,921692","7,775985","7,746249","7,996032",62424500.0
4-dez.-2020,"8,186343","8,085241","8,046584","8,198238",61652400.0
7-dez.-2020,"8,028742","8,109029","7,930613","8,263657",72664200.0
8-dez.-2020,"7,927639","7,972244","7,868167","8,070373",46276700.0
9-dez.-2020,"8,0109","7,918719","7,850326","8,019821",52448300.0
10-dez.-2020,"8,272578","8,085241","8,067399","8,385575",97537100.0
11-dez.-2020,"8,198238","8,174449","8,112003","8,278525",48334300.0
14-dez.-2020,"8,213106","8,335024","8,213106","8,40639",53159500.0
15-dez.-2020,"8,281499","8,266631","8,219053","8,323129",47208200.0
16-dez.-2020,"8,382601","8,281499","8,168502","8,397469",59399200.0
17-dez.-2020,"8,397469","8,415311","8,346918","8,442074",39149200.0
18-dez.-2020,"8,355839","8,355839","8,33205","8,421258",44707900.0
21-dez.-2020,"8,034689","8,085241","7,886009","8,174449",99988800.0
22-dez.-2020,"8,112003","8,088214","8,04361","8,168502",46513200.0
23-dez.-2020,"8,311235","8,156607","8,132818","8,400443",49038900.0
28-dez.-2020,"8,379628","8,433153","8,379628","8,48073",36313300.0
29-dez.-2020,"8,40639","8,4391","8,323129","8,453968",29891100.0
30-dez.-2020,"8,427206","8,430179","8,385575","8,47181",36968200.0
4-jan.-2021,"8,596701","8,519387","8,483704","8,676989",74719700.0
5-jan.-2021,"8,932719","8,593728","8,397469","8,974349",95181100.0
6-jan.-2021,"8,94164","8,968402","8,935693","9,188449",96562500.0
7-jan.-2021,"9,218185","9,021927","9,021927","9,262789",56164100.0
8-jan.-2021,"9,253869","9,354971","9,024901","9,44418",67136300.0
11-jan.-2021,"9,176555","9,102215","9,039769","9,236027",48743700.0
12-jan.-2021,"9,108162","9,253869","9,108162","9,384707",65691900.0
13-jan.-2021,"8,668068","9,12303","8,623464","9,176555",93826600.0
14-jan.-2021,"8,757276","8,674015","8,540203","8,822695",50728700.0
15-jan.-2021,"8,361786","8,638332","8,335024","8,647253",80673300.0
18-jan.-2021,"8,346918","8,418285","8,329076","8,57886",68855700.0
19-jan.-2021,"8,531282","8,468836","8,219053","8,581833",61652300.0
20-jan.-2021,"8,388549","8,608596","8,358813","8,659147",60306200.0
21-jan.-2021,"8,192291","8,33205","8,180396","8,445047",41284900.0
22-jan.-2021,"8,055505","8,007927","7,897903","8,100109",51181900.0
26-jan.-2021,"8,028742","8,103082","7,975217","8,317182",64514600.0
27-jan.-2021,"8,141739","7,972244","7,888982","8,376654",68337800.0
28-jan.-2021,"8,254736","8,123898","8,120924","8,459915",67827000.0
29-jan.-2021,"7,93656","8,18337","7,93656","8,230947",67555300.0
1-fev.-2021,"8,186343","8,106056","7,978191","8,230947",44449500.0
2-fev.-2021,"8,522361","8,445047","8,385575","8,665094",91663000.0
3-fev.-2021,"8,57886","8,617516","8,522361","8,665094",51765400.0
4-fev.-2021,"8,569939","8,572912","8,388549","8,62049",41444100.0
5-fev.-2021,"8,629411","8,617516","8,421258","8,947587",121098700.0
8-fev.-2021,"8,358813","8,477757","8,266631","8,712672",98821700.0
9-fev.-2021,"8,189317","8,340971","8,141739","8,436126",63662200.0
10-fev.-2021,"8,266631","8,248789","8,064425","8,337997",52949900.0
11-fev.-2021,"8,349892","8,367733","8,287446","8,474783",61158600.0
12-fev.-2021,"8,456942","8,269604","8,210132","8,47181",47801100.0
17-fev.-2021,"8,798907","8,48073","8,36476","8,80188",54973400.0
18-fev.-2021,"8,703751","9,033822","8,635358","9,194396",105539200.0
19-fev.-2021,"8,126871","8,335024","8,079293","8,47181",215834800.0
22-fev.-2021,"6,37839","6,779827","6,363521","6,898771",490230400.0
23-fev.-2021,"7,154501","6,854167","6,753064","7,213973",293503100.0
24-fev.-2021,"7,255604","7,300208","7,139633","7,43402",155246400.0
25-fev.-2021,"6,895797","7,43402","6,869035","7,508361",170149400.0
26-fev.-2021,"6,613305","6,898771","6,533017","6,96419",159881000.0
1-mar.-2021,"6,541938","6,779827","6,518149","6,851193",90330100.0
2-mar.-2021,"6,538964","6,49436","6,146448","6,640067",147772300.0
3-mar.-2021,"6,301076","6,482466","6,08995","6,509228",185688500.0
4-mar.-2021,"6,607357","6,333785","6,28026","6,660882",127843200.0
5-mar.-2021,"6,657909","6,672777","6,628173","6,904718",126306300.0
8-mar.-2021,"6,274313","6,524096","6,232683","6,625199",141142800.0
9-mar.-2021,"6,42002","6,351627","6,202947","6,52707",122553300.0
10-mar.-2021,"6,643041","6,524096","6,417046","6,643041",111744100.0
11-mar.-2021,"6,925533","6,726302","6,723328","6,985006",130577500.0
12-mar.-2021,"6,88985","6,883903","6,797668","6,952296",68123200.0
15-mar.-2021,"7,032583","6,872008","6,869035","7,038531",67541300.0
