ativo,target,data,melhor_precision,valor_melhor_precision,concordancia_valor
PETR4,1.02,2022-03-17,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.015,2022-03-17,RandomForest_90,1.0,1.0
PETR4,1.01,2022-03-17,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.02,2022-03-18,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.015,2022-03-18,RandomForest_60,1.0,1.0
PETR4,1.01,2022-03-18,RandomForest_60,1.0,1.0
PETR4,1.02,2022-03-21,RandomForest_75,1.0,1.0
PETR4,1.01,2022-03-21,RandomForest_90,1.0,1.0
PETR4,1.015,2022-03-21,RandomForest_90,1.0,1.0
PETR4,1.01,2022-03-22,RandomForest_90,1.0,1.0
PETR4,1.02,2022-03-22,RandomForest_75,1.0,1.0
PETR4,1.015,2022-03-22,RandomForest_90,1.0,1.0
PETR4,1.01,2022-03-23,RandomForest_75,1.0,1.0
PETR4,1.02,2022-03-23,"RandomForest_75, RandomForest_90","0.0, 1.0",0.0
PETR4,1.015,2022-03-23,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.01,2022-03-24,RandomForest_90,1.0,1.0
PETR4,1.02,2022-03-24,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.015,2022-03-24,RandomForest_90,1.0,1.0
PETR4,1.01,2022-03-25,RandomForest_75,1.0,1.0
PETR4,1.02,2022-03-25,RandomForest_75,1.0,1.0
PETR4,1.015,2022-03-25,RandomForest_75,1.0,1.0
PETR4,1.02,2022-03-28,RandomForest_75,1.0,1.0
PETR4,1.015,2022-03-28,RandomForest_90,1.0,1.0
PETR4,1.01,2022-03-28,RandomForest_60,1.0,1.0
PETR4,1.015,2022-03-29,RandomForest_60,1.0,1.0
PETR4,1.01,2022-03-29,RandomForest_90,1.0,1.0
PETR4,1.02,2022-03-29,RandomForest_75,1.0,1.0
PETR4,1.015,2022-03-30,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.01,2022-03-30,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.02,2022-03-30,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.015,2022-03-31,RandomForest_90,1.0,1.0
PETR4,1.01,2022-03-31,RandomForest_60,1.0,1.0
PETR4,1.02,2022-03-31,RandomForest_75,1.0,1.0
PETR4,1.015,2022-04-01,RandomForest_75,1.0,1.0
PETR4,1.01,2022-04-01,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.02,2022-04-01,RandomForest_75,0.0,0.0
PETR4,1.015,2022-04-04,RandomForest_90,1.0,1.0
PETR4,1.02,2022-04-04,RandomForest_75,1.0,1.0
PETR4,1.01,2022-04-04,RandomForest_90,1.0,1.0
PETR4,1.02,2022-04-05,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2022-04-05,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.015,2022-04-05,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.02,2022-04-06,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2022-04-06,RandomForest_90,1.0,1.0
PETR4,1.015,2022-04-06,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.01,2022-04-07,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.015,2022-04-07,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.02,2022-04-07,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.015,2022-04-08,"RandomForest_60, RandomForest_90","1.0, 0.0",0.0
PETR4,1.02,2022-04-08,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 0.0, 0.0",0.0
PETR4,1.01,2022-04-08,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.015,2022-04-11,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.02,2022-04-11,"RandomForest_60, RandomForest_90","0.0, 1.0",0.0
PETR4,1.01,2022-04-11,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.015,2022-04-12,RandomForest_75,1.0,1.0
PETR4,1.01,2022-04-12,RandomForest_90,1.0,1.0
PETR4,1.02,2022-04-12,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.01,2022-04-13,RandomForest_90,1.0,1.0
PETR4,1.02,2022-04-13,RandomForest_75,1.0,1.0
PETR4,1.015,2022-04-13,RandomForest_60,1.0,1.0
PETR4,1.01,2022-04-14,RandomForest_75,1.0,1.0
PETR4,1.02,2022-04-14,"RandomForest_60, RandomForest_75","0.0, 1.0",0.0
PETR4,1.015,2022-04-14,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2022-04-18,RandomForest_60,1.0,1.0
PETR4,1.02,2022-04-18,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.015,2022-04-18,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.01,2022-04-19,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.02,2022-04-19,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.015,2022-04-19,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2022-04-20,RandomForest_75,1.0,1.0
PETR4,1.015,2022-04-20,"RandomForest_60, RandomForest_90","1.0, 1.0",1.0
PETR4,1.02,2022-04-20,RandomForest_60,1.0,1.0
PETR4,1.015,2022-04-22,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.01,2022-04-22,"RandomForest_60, RandomForest_75, RandomForest_90","1.0, 1.0, 1.0",1.0
PETR4,1.02,2022-04-22,RandomForest_60,1.0,1.0
PETR4,1.015,2022-04-25,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.01,2022-04-25,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.02,2022-04-25,RandomForest_60,1.0,1.0
PETR4,1.015,2022-04-26,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.01,2022-04-26,RandomForest_75,1.0,1.0
PETR4,1.02,2022-04-26,RandomForest_60,1.0,1.0
PETR4,1.015,2022-04-27,RandomForest_75,1.0,1.0
PETR4,1.01,2022-04-27,"RandomForest_60, RandomForest_75","1.0, 1.0",1.0
PETR4,1.02,2022-04-27,RandomForest_60,1.0,1.0
PETR4,1.01,2022-04-28,RandomForest_75,1.0,1.0
PETR4,1.02,2022-04-28,RandomForest_60,1.0,1.0
PETR4,1.015,2022-04-28,RandomForest_75,1.0,1.0
PETR4,1.02,2022-04-29,RandomForest_60,1.0,1.0
PETR4,1.015,2022-04-29,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.01,2022-04-29,RandomForest_75,1.0,1.0
PETR4,1.02,2022-05-02,RandomForest_90,1.0,1.0
PETR4,1.015,2022-05-02,RandomForest_75,1.0,1.0
PETR4,1.01,2022-05-02,RandomForest_75,1.0,1.0
PETR4,1.02,2022-05-03,RandomForest_75,1.0,1.0
PETR4,1.015,2022-05-03,RandomForest_75,1.0,1.0
PETR4,1.01,2022-05-03,RandomForest_75,1.0,1.0
PETR4,1.02,2022-05-04,RandomForest_75,1.0,1.0
PETR4,1.015,2022-05-04,RandomForest_60,1.0,1.0
PETR4,1.01,2022-05-04,RandomForest_75,1.0,1.0
PETR4,1.015,2022-05-05,RandomForest_90,1.0,1.0
PETR4,1.01,2022-05-05,RandomForest_75,1.0,1.0
PETR4,1.02,2022-05-05,RandomForest_75,1.0,1.0
PETR4,1.01,2022-05-06,RandomForest_90,1.0,1.0
PETR4,1.015,2022-05-06,"RandomForest_75, RandomForest_90","1.0, 1.0",1.0
PETR4,1.02,2022-05-06,RandomForest_60,1.0,1.0
PETR4,1.01,2022-05-09,RandomForest_75,1.0,1.0
PETR4,1.015,2022-05-09,RandomForest_90,1.0,1.0
PETR4,1.02,2022-05-09,RandomForest_90,0.0,0.0
PETR4,1.015,2022-05-10,RandomForest_90,1.0,1.0
PETR4,1.02,2022-05-10,RandomForest_60,0.0,0.0
PETR4,1.01,2022-05-10,RandomForest_90,1.0,1.0
PETR4,1.02,2022-05-11,RandomForest_90,1.0,1.0
PETR4,1.01,2022-05-11,RandomForest_90,1.0,1.0
PETR4,1.015,2022-05-11,RandomForest_90,1.0,1.0
PETR4,1.02,2022-05-12,RandomForest_90,0.0,0.0
PETR4,1.01,2022-05-12,RandomForest_90,1.0,1.0
PETR4,1.015,2022-05-12,RandomForest_75,0.0,0.0
PETR4,1.02,2022-05-13,RandomForest_60,0.0,0.0
PETR4,1.015,2022-05-13,RandomForest_60,0.0,0.0
PETR4,1.01,2022-05-13,RandomForest_90,1.0,1.0
PETR4,1.015,2022-05-16,RandomForest_90,1.0,1.0
PETR4,1.01,2022-05-16,RandomForest_90,1.0,1.0
PETR4,1.02,2022-05-16,RandomForest_90,1.0,1.0
PETR4,1.015,2022-05-17,RandomForest_75,1.0,1.0
PETR4,1.01,2022-05-17,RandomForest_75,1.0,1.0
PETR4,1.02,2022-05-17,RandomForest_90,1.0,1.0
PETR4,1.015,2022-05-18,RandomForest_90,0.0,0.0
PETR4,1.01,2022-05-18,RandomForest_90,1.0,1.0
PETR4,1.02,2022-05-18,RandomForest_60,0.0,0.0
PETR4,1.015,2022-05-19,RandomForest_75,1.0,1.0
PETR4,1.01,2022-05-19,RandomForest_90,1.0,1.0
PETR4,1.02,2022-05-19,RandomForest_75,0.0,0.0
PETR4,1.015,2022-05-20,RandomForest_90,1.0,1.0
PETR4,1.02,2022-05-20,RandomForest_90,1.0,1.0
PETR4,1.01,2022-05-20,RandomForest_75,1.0,1.0
PETR4,1.02,2022-05-23,RandomForest_75,1.0,1.0
PETR4,1.015,2022-05-23,RandomForest_90,1.0,1.0
PETR4,1.01,2022-05-23,RandomForest_75,1.0,1.0
