ativo,target,data,RNA_60,RNA_75,RNA_90,RandomForest_60,RandomForest_75,RandomForest_90,SVC_60,SVC_75,SVC_90,melhor_precision
PETR4,1.01,2020-01-22,0.8813559322033898,0.8933333333333333,0.9111111111111112,1.0,0.9852941176470588,0.9879518072289156,0.8666666666666667,0.8933333333333333,0.9111111111111112,RandomForest_60
PETR4,1.015,2020-01-22,0.8275862068965517,0.84,0.8666666666666667,0.9245283018867924,0.9545454545454546,0.975,0.8166666666666667,0.84,0.8666666666666667,RandomForest_90
PETR4,1.02,2020-01-22,0.7636363636363637,0.7540983606557377,0.7777777777777778,1.0,1.0,0.945945945945946,0.7333333333333333,0.7466666666666667,0.7777777777777778,RandomForest_60 | RandomForest_75
PETR4,1.01,2020-01-23,0.8666666666666667,0.8904109589041096,0.9111111111111112,1.0,0.9571428571428572,0.9879518072289156,0.8666666666666667,0.8933333333333333,0.9111111111111112,RandomForest_60
PETR4,1.015,2020-01-23,0.8596491228070176,0.84,0.8666666666666667,0.9245283018867924,0.9692307692307692,0.9285714285714286,0.8166666666666667,0.84,0.8666666666666667,RandomForest_75
PETR4,1.02,2020-01-23,0.7241379310344828,0.7432432432432432,0.7777777777777778,1.0,1.0,0.9090909090909092,0.7333333333333333,0.7466666666666667,0.7777777777777778,RandomForest_60 | RandomForest_75
PETR4,1.01,2020-01-24,0.8833333333333333,0.9066666666666666,0.9222222222222224,1.0,1.0,1.0,0.8833333333333333,0.9066666666666666,0.9222222222222224,RandomForest_60 | RandomForest_75 | RandomForest_90
PETR4,1.015,2020-01-24,0.8245614035087719,0.8533333333333334,0.8777777777777778,1.0,1.0,0.9404761904761904,0.8166666666666667,0.8533333333333334,0.8777777777777778,RandomForest_60 | RandomForest_75
PETR4,1.02,2020-01-24,0.7457627118644068,0.8,0.8125,0.88,1.0,0.9342105263157896,0.7333333333333333,0.76,0.7888888888888889,RandomForest_75
PETR4,1.015,2020-01-27,0.8166666666666667,0.8533333333333334,0.8666666666666667,0.9074074074074074,1.0,0.951219512195122,0.8166666666666667,0.8533333333333334,0.8666666666666667,RandomForest_75
PETR4,1.02,2020-01-27,0.7346938775510204,0.7887323943661971,0.7865168539325843,1.0,1.0,0.8987341772151899,0.75,0.7733333333333333,0.7888888888888889,RandomForest_60 | RandomForest_75
