ativo|target|data|Close|Open|Low|High|ln_open|ln_high|log_return|log_return_binario|esmble_jan_tot|esmble_jan_par|in_precision
VALE3|1.01|2020-06-04|33.635192|32.462855|32.341996|33.659364|3.480096512624105|3.5162912937534907|0.03619478112938568|1|1|1|1.0
VALE3|1.01|2020-06-05|33.00068|34.076329|32.837519|34.263661|3.5286029790230575|3.5340853464980744|0.005482367475016847|0|1|1|1.0
VALE3|1.01|2020-06-08|33.10341|33.22427|32.619972|33.629149|3.5032806329508612|3.5153932206446146|0.01211258769375334|1|1|1|1.0
VALE3|1.01|2020-06-09|33.230313|32.728746|32.704574|33.230313|3.488253774305232|3.503462501521661|0.015208727216428741|1|1|1|1.0
VALE3|1.01|2020-06-10|32.752918|33.181969|32.487027|33.357215|3.5020066259792713|3.5072740907921993|0.005267464812928058|0|0|1|1.0
VALE3|1.01|2020-06-12|32.26948|32.456812|31.411378|32.662273|3.4799103440777555|3.486220680956526|0.006310336878770695|0|1|1|1.0
VALE3|1.01|2020-06-15|32.559543|31.725612|31.502022|32.891906|3.4571243041945285|3.4932266092667934|0.03610230507226486|1|1|1|1.0
VALE3|1.01|2020-06-16|33.472032|33.532461|32.765004|33.538504|3.5125139547426603|3.512694151941742|0.00018019719908179965|0|1|1|1.0
VALE3|1.01|2020-06-17|33.961512|33.532461|33.327|34.106544|3.5125139547426603|3.5294892720361974|0.016975317293537184|1|1|1|1.0
VALE3|1.01|2020-06-18|33.943384|34.021942|33.604977|34.166974|3.5270056694066776|3.5312595049918487|0.004253835585171117|0|1|1|1.0
VALE3|1.01|2020-06-19|33.339086|34.040071|33.061109|34.203231|3.5275383894844317|3.5323201132904125|0.004781723805980853|0|0|1|0.0
VALE3|1.01|2020-06-22|33.236356|33.236356|32.891906|33.44786|3.503644337022298|3.5099878084439733|0.00634347142167524|0|1|1|1.0
VALE3|1.01|2020-06-23|33.592891|33.556633|33.459946|34.17906|3.513234548794682|3.531613175846429|0.0183786270517472|1|0|1|1.0
VALE3|1.01|2020-06-24|33.472032|33.991727|33.127582|33.99777|3.5261171714787767|3.526294934229865|0.0001777627510883839|0|1|1|1.0
VALE3|1.01|2020-06-25|33.840653|33.538504|33.157797|33.931298|3.512694151941742|3.524337833295785|0.011643681354042812|1|1|1|1.0
VALE3|1.01|2020-06-26|33.61102|33.780223|33.363258|34.414736|3.5198755128972365|3.538484844747245|0.01860933185000846|1|1|1|1.0
VALE3|1.01|2020-06-29|33.617063|33.502246|33.139668|33.786266|3.5116124813597396|3.5200543885530697|0.008441907193330156|0|1|1|1.0
VALE3|1.01|2020-06-30|33.792309|33.502246|33.242399|34.166974|3.5116124813597396|3.5312595049918487|0.01964702363210913|1|1|1|1.0
