ativo|target|data|Close|Open|Low|High|ln_open|ln_high|log_return|log_return_binario|esmble_jan_tot|esmble_jan_par|in_precision
PETR4|1.01|2020-06-04|6.372321|6.360427|6.256353|6.476396|1.8500955134631314|1.868164182803193|0.01806866934006157|1|1|1|1.0
PETR4|1.01|2020-06-05|6.571549|6.628047|6.559655|6.848089|1.89131019066772|1.9239696352503144|0.03265944458259429|1|1|1|1.0
PETR4|1.01|2020-06-08|6.699412|6.705359|6.544787|6.717253|1.9029070574330498|1.9046792911999304|0.0017722337668806265|0|1|1|1.0
PETR4|1.01|2020-06-09|6.458554|6.550734|6.434766|6.553708|1.8795771044374903|1.8800309963393445|0.0004538919018541865|0|1|1|1.0
PETR4|1.01|2020-06-10|6.363401|6.509105|6.244459|6.512078|1.8732019659703554|1.8736586065154828|0.0004566405451273958|0|1|1|1.0
PETR4|1.01|2020-06-12|6.125516|6.131464|5.976839|6.295009|1.8134335468824758|1.8397570972014046|0.026323550318928746|1|1|1|1.0
PETR4|1.01|2020-06-15|6.155252|5.890606|5.81032|6.27122|1.773358878618946|1.8359709130695836|0.06261203445063757|1|1|1|1.0
PETR4|1.01|2020-06-16|6.35448|6.410977|6.295009|6.515052|1.8580116774148445|1.8741151921259227|0.016103514711078182|1|1|1|1.0
PETR4|1.01|2020-06-17|6.375295|6.387189|6.289062|6.49721|1.8542942654990813|1.8713728539864651|0.01707858848738386|1|1|1|1.0
PETR4|1.01|2020-06-18|6.422872|6.297982|6.268247|6.473422|1.8402292646245741|1.8677048713206246|0.027475606696050425|1|1|1|1.0
PETR4|1.01|2020-06-19|6.384215|6.541814|6.309877|6.607232|1.878214497039733|1.888164806703998|0.009950309664265022|0|1|1|1.0
PETR4|1.01|2020-06-22|6.229591|6.422872|6.214723|6.422872|1.8598653696947067|1.8598653696947067|0.0|0|1|1|1.0
PETR4|1.01|2020-06-23|6.437739|6.309877|6.286088|6.562629|1.8421161834946707|1.8813912848674001|0.03927510137272949|1|1|1|1.0
PETR4|1.01|2020-06-24|6.244459|6.390163|6.158226|6.410977|1.8547597766713033|1.8580116774148445|0.003251900743541203|0|1|1|1.0
PETR4|1.01|2020-06-25|6.384215|6.217697|6.164173|6.384215|1.8273995809542272|1.8538285375252805|0.026428956571053375|1|1|1|1.0
PETR4|1.01|2020-06-26|6.196882|6.306903|6.17904|6.384215|1.8416447478264444|1.8538285375252805|0.012183789698836156|1|1|1|1.0
PETR4|1.01|2020-06-29|6.440713|6.274194|6.223644|6.440713|1.8364450305527866|1.8626392482736023|0.02619421772081565|1|1|1|1.0
PETR4|1.01|2020-06-30|6.408004|6.345559|6.27122|6.482343|1.8477551981525218|1.8690820190861046|0.021326820933582846|1|1|1|1.0
PETR4|1.01|2020-07-01|6.455581|6.467475|6.399083|6.616152|1.8667857695893237|1.8895139320644911|0.0227281624751674|1|1|1|1.0
PETR4|1.01|2020-07-02|6.559655|6.571549|6.500184|6.604258|1.8827495733528175|1.8877145925267578|0.0049650191739403216|0|1|1|1.0
PETR4|1.01|2020-07-03|6.535867|6.526946|6.482343|6.595338|1.8759391462926727|1.8863630358036807|0.010423889511008033|1|0|1|1.0
PETR4|1.01|2020-07-06|6.693465|6.657782|6.633994|6.797539|1.8957863960514487|1.9165606349114872|0.020774238860038485|1|1|1|1.0
PETR4|1.01|2020-07-07|6.610205|6.642914|6.583443|6.681571|1.893550722641153|1.8993531395388763|0.005802416897723317|0|0|1|1.0
PETR4|1.01|2020-07-08|6.735095|6.675624|6.660756|6.767804|1.8984626830631037|1.912176662073704|0.01371397901060023|1|1|1|1.0
PETR4|1.01|2020-07-09|6.583443|6.773751|6.559655|6.782671|1.9130549955268898|1.9143709771756332|0.0013159816487433584|0|1|1|1.0
PETR4|1.01|2020-07-10|6.693465|6.598311|6.559655|6.735095|1.8868137071911517|1.9073319151822974|0.020518207991145676|1|1|1|1.0
PETR4|1.01|2020-07-13|6.589391|6.7232|6.589391|6.735095|1.9055642316685442|1.9073319151822974|0.0017676835137532265|0|0|1|0.0
PETR4|1.01|2020-07-14|6.809433|6.58047|6.500184|6.827275|1.8841061713577554|1.9209256188611439|0.0368194475033885|1|1|1|1.0
PETR4|1.01|2020-07-15|6.94027|6.89864|6.794566|6.967032|1.931324290726895|1.9411893091191044|0.009865018392209324|0|1|1|1.0
PETR4|1.01|2020-07-16|6.755909|6.886746|6.696438|6.922428|1.929598694802141|1.9347665751421517|0.005167880340010589|0|0|1|0.0
PETR4|1.01|2020-07-17|6.761856|6.788618|6.71428|6.848089|1.9152473862449049|1.9239696352503144|0.008722249005409521|0|1|1|1.0
PETR4|1.01|2020-07-20|6.761856|6.749962|6.696438|6.812407|1.9095368752389623|1.918745508520035|0.009208633281072576|0|1|1|1.0
PETR4|1.01|2020-07-21|6.94919|6.883772|6.880799|7.017582|1.9291667575218967|1.9484187142586622|0.019251956736765496|1|1|1|1.0
PETR4|1.01|2020-07-22|6.854037|6.928375|6.842142|6.961084|1.9356252979707769|1.9403352093454405|0.004709911374663589|0|1|1|1.0
PETR4|1.01|2020-07-23|6.711434|6.886877|6.702513|6.907692|1.9296177166673403|1.9326355733031864|0.0030178566358460834|0|1|1|1.0
PETR4|1.01|2020-07-24|6.759011|6.702513|6.66683|6.85714|1.902482530700882|1.9252904451858242|0.022807914484942238|1|0|1|0.0
PETR4|1.01|2020-07-27|6.898771|6.800642|6.67575|6.913639|1.9170170194902567|1.9334961272349322|0.016479107744675536|1|1|1|1.0
PETR4|1.01|2020-07-28|6.779827|6.851193|6.779827|6.934454|1.9244227976938817|1.9365023195930802|0.012079521899198475|1|0|1|1.0
PETR4|1.01|2020-07-29|6.88985|6.84822|6.81551|6.913639|1.9239887644916311|1.9334961272349322|0.009507362743301107|0|1|1|1.0
PETR4|1.01|2020-07-30|6.785774|6.81551|6.690618|6.81551|1.9192008972714667|1.9192008972714667|0.0|0|0|0|0.0
PETR4|1.01|2020-07-31|6.60141|6.81551|6.589516|6.880929|1.9192008972714667|1.9287536718994154|0.00955277462794868|0|0|1|0.0
PETR4|1.01|2020-08-03|6.482466|6.702513|6.458677|6.705486|1.902482530700882|1.9029259973283366|0.00044346662745464727|0|1|1|1.0
PETR4|1.01|2020-08-04|6.476519|6.381363|6.318917|6.556806|1.8533817109033366|1.8805035941425519|0.027121883239215272|1|0|1|1.0
PETR4|1.01|2020-08-05|6.892824|6.610331|6.610331|6.92256|1.888633728252817|1.9347856434143673|0.04615191516155037|1|1|1|1.0
PETR4|1.01|2020-08-06|6.904718|6.92256|6.842272|6.9969|1.9347856434143673|1.9454671938222707|0.010681550407903417|1|1|1|1.0
PETR4|1.01|2020-08-07|6.776853|6.797668|6.705486|6.812536|1.9165796121878174|1.9187644443790697|0.002184832191252317|0|1|1|1.0
PETR4|1.01|2020-08-10|6.973111|6.809563|6.732249|6.973111|1.9183279477646782|1.9420614666551264|0.02373351889044817|1|1|1|1.0
PETR4|1.01|2020-08-11|6.863088|7.050425|6.85714|7.100976|1.953087898695132|1.9602322393885838|0.007144340693451712|0|1|1|1.0
PETR4|1.01|2020-08-12|6.982032|6.946349|6.863088|7.041504|1.9382161978048345|1.951821783716589|0.013605585911754536|1|1|1|1.0
PETR4|1.01|2020-08-13|6.791721|6.973111|6.753064|7.011768|1.9420614666551264|1.9475898803735807|0.005528413718454361|0|1|1|1.0
PETR4|1.01|2020-08-14|6.74117|6.770906|6.699539|6.833352|1.912634903671948|1.9218153291798388|0.009180425507890666|0|1|1|1.0
