data,PETR4_esmble_jan_tot,PETR4_rend_decisao_esmble_jan_tot,PETR4_esmble_jan_par,PETR4_rend_decisao_esmble_jan_par,PETR4_in_precision,PETR4_rend_decisao_in_precision,VALE3_esmble_jan_tot,VALE3_rend_decisao_esmble_jan_tot,VALE3_esmble_jan_par,VALE3_rend_decisao_esmble_jan_par,VALE3_in_precision,VALE3_rend_decisao_in_precision,ITUB4_esmble_jan_tot,ITUB4_rend_decisao_esmble_jan_tot,ITUB4_esmble_jan_par,ITUB4_rend_decisao_esmble_jan_par,ITUB4_in_precision,ITUB4_rend_decisao_in_precision
2020-06-04,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,0,0.0,1,0.0,1.0,0.0
2020-06-05,1,0.0331986179337594,1,0.0331986179337594,1.0,0.0331986179337594,0,0.0054974231525936,0,0.0054974231525936,0.0,0.0054974231525936,1,0.0,1,0.0191761487670174,1.0,0.0191761487670174
2020-06-08,1,0.0017738051012631,1,0.0017738051012631,1.0,0.0017738051012631,0,-0.0131228924336304,1,-0.0131228924336304,1.0,-0.0131228924336304,0,0.0315103223026373,0,0.0113636370456091,0.0,0.0113636370456091
2020-06-09,1,-0.0226163878772187,1,-0.0226163878772187,1.0,-0.0226163878772187,0,-0.0248270874482987,0,-0.0248270874482987,0.0,-0.0248270874482987,0,0.0,1,0.0028409242648047,0.0,0.0028409242648047
2020-06-10,1,-0.0288248548660854,1,-0.0288248548660854,1.0,-0.0288248548660854,0,-0.0211030360694077,0,-0.0211030360694077,0.0,-0.0211030360694077,0,0.0,1,0.0003551005296981,1.0,0.0003551005296981
2020-06-12,1,-0.0611973199346969,1,-0.0611973199346969,1.0,-0.0611973199346969,0,0.0,1,0.0,0.0,0.0,0,0.0,1,0.0177537598539687,1.0,0.0177537598539687
2020-06-15,1,0.0646137256506375,1,0.0646137256506375,1.0,0.0646137256506375,0,0.0,1,0.0367619070673876,0.0,0.0,1,0.0,1,0.0030876274246383,1.0,0.0030876274246383
2020-06-16,1,0.0162338751176302,1,0.0162338751176302,1.0,0.0162338751176302,0,0.0,1,0.0001802134355723,1.0,0.0,1,0.0026414756703956,1,0.0254727631904301,1.0,0.0254727631904301
2020-06-17,1,0.0134508359646275,1,0.0134508359646275,1.0,0.0134508359646275,0,0.0,1,0.017120216735658,1.0,0.017120216735658,1,0.016603734454785,1,0.0290297546787296,1.0,0.0290297546787296
2020-06-18,0,0.0097403250705782,1,0.0097403250705782,0.0,0.0097403250705782,1,0.0,1,0.0189223510913799,1.0,0.0189223510913799,0,0.0532075594671616,1,0.0532075594671616,1.0,0.0532075594671616
2020-06-19,1,0.0306123388057701,1,0.0306123388057701,1.0,0.0306123388057701,0,0.0047931744913224,0,0.0200036018829636,0.0,0.0200036018829636,0,0.0,1,0.0049822028528361,1.0,0.0049822028528361
2020-06-22,1,0.0,1,0.0,1.0,0.0,1,-0.0173974666504073,1,0.0,1.0,0.0,0,0.0,1,0.0049822028528361,0.0,0.0049822028528361
2020-06-23,1,0.021759269062189,1,0.021759269062189,1.0,0.021759269062189,0,0.0040830995916548,1,0.0185485534260842,1.0,0.0185485534260842,0,0.0,1,-0.0124555372029659,0.0,-0.0124555372029659
2020-06-24,1,0.0032571939088251,1,0.0032571939088251,1.0,0.0032571939088251,1,-0.0012426824844165,1,0.0131460447774961,1.0,0.0131460447774961,0,0.0,1,-0.0419928955751547,1.0,-0.0419928955751547
2020-06-25,1,-0.0009308056774138,1,-0.0009308056774138,1.0,-0.0009308056774138,0,0.0117117328787233,1,0.0111651547400479,0.0,0.0111651547400479,0,0.0,1,0.0115251270571308,1.0,0.0115251270571308
2020-06-26,1,-0.0009308056774138,1,-0.0009308056774138,1.0,-0.0009308056774138,0,0.0261261504090938,1,0.0255717848688812,1.0,0.0255717848688812,1,0.0,1,0.007299260121071,1.0,0.007299260121071
