data,PETR4_esmble_jan_tot,PETR4_rend_decisao_esmble_jan_tot,PETR4_esmble_jan_par,PETR4_rend_decisao_esmble_jan_par,PETR4_in_precision,PETR4_rend_decisao_in_precision,VALE3_esmble_jan_tot,VALE3_rend_decisao_esmble_jan_tot,VALE3_esmble_jan_par,VALE3_rend_decisao_esmble_jan_par,VALE3_in_precision,VALE3_rend_decisao_in_precision,ITUB4_esmble_jan_tot,ITUB4_rend_decisao_esmble_jan_tot,ITUB4_esmble_jan_par,ITUB4_rend_decisao_esmble_jan_par,ITUB4_in_precision,ITUB4_rend_decisao_in_precision
2020-06-04,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
2020-06-05,1,0.0331986179337594,1,0.0331986179337594,1.0,0.0331986179337594,0,0.0054974231525936,1,0.0054974231525936,1.0,0.0054974231525936,1,0.0191761487670174,1,0.0191761487670174,1.0,0.0191761487670174
2020-06-08,1,0.0017738051012631,1,0.0017738051012631,1.0,0.0017738051012631,1,-0.0131228924336304,1,-0.0131228924336304,1.0,-0.0131228924336304,1,0.0315103223026373,1,0.0315103223026373,1.0,0.0315103223026373
2020-06-09,1,-0.0226163878772187,1,-0.0226163878772187,1.0,-0.0226163878772187,0,-0.0248270874482987,0,-0.0248270874482987,0.0,-0.0248270874482987,1,0.0243017999946181,1,0.0243017999946181,1.0,0.0243017999946181
2020-06-10,1,-0.0288248548660854,1,-0.0288248548660854,1.0,-0.0288248548660854,0,-0.0211030360694077,1,-0.0211030360694077,0.0,-0.0211030360694077,1,0.0021344530469329,1,0.0021344530469329,1.0,0.0021344530469329
2020-06-12,1,-0.0611973199346969,1,-0.0611973199346969,1.0,-0.0611973199346969,0,0.0,1,0.0063302890006572,0.0,0.0,1,-0.0618996794442666,1,-0.0618996794442666,1.0,-0.0618996794442666
2020-06-15,1,0.0646137256506375,1,0.0646137256506375,1.0,0.0646137256506375,1,0.0,1,0.0134053215084709,1.0,0.0,1,-0.0754179822754365,1,-0.0754179822754365,1.0,-0.0754179822754365
2020-06-16,1,0.0162338751176302,1,0.0162338751176302,1.0,0.0162338751176302,1,0.0001802134355723,1,0.0333271178943885,1.0,0.0001802134355723,1,-0.0547847958742524,1,-0.0547847958742524,1.0,-0.0547847958742524
2020-06-17,1,0.0172252613786752,1,0.0172252613786752,1.0,0.0172252613786752,0,0.017120216735658,1,0.017120216735658,0.0,0.017120216735658,1,0.0290297546787296,1,0.0290297546787296,1.0,0.0290297546787296
2020-06-18,1,0.0278565419844007,1,0.0278565419844007,1.0,0.0278565419844007,0,0.0,1,0.0042628959863608,1.0,0.0,1,0.0532075594671616,1,0.0532075594671616,1.0,0.0532075594671616
