Exchange Date,Close,Open,Low,High,Volume,data_adicional,ibov_status,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,Momentum,RSI,Parabolic_SAR,ATR,True_Range,Chaikin_AD,OBV,compra,maximo,venda,target,resultado_real
2005-02-16,2.87,2.92,2.87,2.93,106406491.0,0,1.0,-0.020690393257446166,0.010291686036547724,0.03509131981127019,0.0,0.0034188067487856823,0.013745920904635136,0.04181793968332162,0.04538300584781775,0.017153079226249493,0.03152625364677395,0.007117467768863955,-0.017271586508660595,0.0,-0.003565066164496257,-0.014388737452099669,0.3500000000000001,74.2857142857143,2.43,0.07071428571428573,0.06000000000000005,252732531.58333802,113289602.0,2.89,2.93,2.86,0,-0.01038062283737029
2005-02-17,2.89,2.89,2.86,2.93,114153237.0,0,1.0,0.006944472352810995,-0.020690393257446166,0.010291686036547724,0.03509131981127019,0.013745920904635136,0.0034188067487856823,0.013745920904635136,0.04181793968332162,0.0034188067487856823,0.017153079226249493,0.03152625364677395,-0.010434877292579619,-0.017271586508660595,0.0,-0.003565066164496257,0.31000000000000005,75.05330490405122,2.43,0.07066326530612248,0.07000000000000028,236424926.29762414,227442839.0,2.89,2.89,2.86,0,-0.01038062283737029
2005-02-18,2.8,2.89,2.8,2.89,52964387.0,0,1.0,-0.0316370849431827,0.006944472352810995,-0.020690393257446166,0.010291686036547724,0.0,0.0,-0.010327114155849517,0.0,0.013745920904635136,0.0034188067487856823,0.017153079226249493,-0.0316370849431827,-0.010434877292579619,-0.017271586508660595,0.0,0.1499999999999999,65.56813297033959,2.43,0.07204446064139947,0.0900000000000003,183460539.29762414,174478452.0,2.81,3.02,2.89,1,0.07473309608540935
2005-02-21,2.79,2.81,2.77,2.85,59997880.0,0,1.0,-0.003577821347883855,-0.0316370849431827,0.006944472352810995,-0.020690393257446166,0.014134510934904716,-0.013937507843781624,-0.013937507843781624,-0.024264621999631208,0.0,0.013745920904635136,0.0034188067487856823,-0.01433716314640733,-0.0316370849431827,-0.010434877292579619,-0.017271586508660595,0.04999999999999982,64.59136364129905,2.43,0.07261271345272809,0.08000000000000007,153461599.29762414,114480572.0,2.82,3.02,2.89,1,0.07092198581560294
2005-02-22,2.86,2.82,2.79,2.89,121202432.0,0,1.0,0.024780028998486865,-0.003577821347883855,-0.0316370849431827,0.006944472352810995,0.02451961717431866,0.028072018778686522,0.0,0.0,0.014134510934904716,0.0,0.013745920904635136,-0.010695289116747919,-0.01433716314640733,-0.0316370849431827,-0.010434877292579619,0.020000000000000018,68.16630536071901,2.43,0.07456894820610464,0.10000000000000009,201942572.09762362,235683004.0,2.89,3.02,3.02,1,0.04498269896193774
2005-02-23,2.86,2.89,2.84,2.89,65761889.0,0,1.0,0.0,0.024780028998486865,-0.003577821347883855,-0.0316370849431827,0.0,0.02451961717431866,0.028072018778686522,0.0,0.02451961717431866,0.014134510934904716,0.0,-0.017452449951226166,-0.010695289116747919,-0.01433716314640733,-0.0316370849431827,0.04999999999999982,68.16630536071901,2.43,0.07281402333424004,0.050000000000000266,188790194.2976234,235683004.0,2.88,3.02,3.02,1,0.04861111111111116
2005-02-24,3.0,2.88,2.88,3.02,111824442.0,0,1.0,0.04779066383634848,0.0,0.024780028998486865,-0.003577821347883855,0.04746653723892375,0.0440003292624375,0.06851994643675614,0.07207234804112396,0.0,0.02451961717431866,0.014134510934904716,0.0,-0.017452449951226166,-0.010695289116747919,-0.01433716314640733,0.20000000000000018,74.20670814469511,2.43,0.07904159309608005,0.16000000000000014,268664795.7261948,347507446.0,3.01,3.02,2.96,0,-0.01661129568106301
2005-02-25,2.96,3.01,2.95,3.02,93148786.0,0,1.0,-0.013423020332140661,0.04779066383634848,0.0,0.024780028998486865,0.003316752625994042,0.04746653723892375,0.0440003292624375,0.06851994643675614,0.04746653723892375,0.0,0.02451961717431866,-0.02013490840905581,0.0,-0.017452449951226166,-0.010695289116747919,0.16000000000000014,70.11320336476838,2.43,0.0783957650177886,0.06999999999999984,202129948.58333716,254358660.0,2.97,3.08,3.08,1,0.03703703703703698
2005-02-28,2.91,2.97,2.88,2.97,77751923.0,0,1.0,-0.017036187152567852,-0.013423020332140661,0.04779066383634848,0.0,0.0,-0.013378125946175974,0.030771658666753687,0.02730545069026744,0.003316752625994042,0.04746653723892375,0.0,-0.030771658666753774,-0.02013490840905581,0.0,-0.017452449951226166,0.010000000000000231,65.26659645309097,2.43,0.07922463894508944,0.0900000000000003,176212640.91667074,176606737.0,2.88,3.18,2.95,1,0.10416666666666674
2005-03-01,2.93,2.88,2.87,2.95,165157233.0,0,1.0,0.006849341845574768,-0.017036187152567852,-0.013423020332140661,0.04779066383634848,0.02401487620387392,-0.0067567824628797625,-0.02013490840905581,0.02401487620387392,0.0,0.003316752625994042,0.04746653723892375,-0.003478264376324697,-0.030771658666753774,-0.02013490840905581,0.0,0.0,66.27095034528075,2.43,0.07928002187758305,0.08000000000000007,258791257.41667074,341763970.0,2.94,3.18,3.08,1,0.08163265306122458
