Exchange Date,Close,Open,Low,High,Volume,data_adicional,ibov_status,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,Momentum,RSI,Parabolic_SAR,ATR,True_Range,Chaikin_AD,OBV,compra,maximo,venda,target,resultado_real
2020-01-22,19.29481,19.380692,19.180301,19.506652,19187848.081215,0,1,0.0059523850676398565,-0.021557024022680168,-0.02052980836765403,0.006892612365332312,0.006478222864343738,0.0017626440944661075,-0.021200165669821205,-0.024069626649077535,0.013724859347044824,0.005730661803194429,0.011396108928437274,-0.010393549976679685,-0.016901790960897157,-0.01856203690138996,-0.004882968908007343,-1.0992890000000024,15.470478956996372,21.89417,0.4748044285714284,0.32635099999999895,-149419188.07741162,-148698425.13015696,19.180301,19.930336,19.930336,1,0.03910444366853261
2020-01-23,19.752847,19.180301,19.123046,19.930336,36385356.361464,0,1,0.02346148502653002,0.0059523850676398565,-0.021557024022680168,-0.02052980836765403,0.038359230326306205,0.027965680349626525,0.023250101579748977,0.00028729181546165036,0.006478222864343738,0.013724859347044824,0.005730661803194429,-0.002989558204552881,-0.010393549976679685,-0.016901790960897157,-0.01856203690138996,-0.23474399999999918,25.68222630367772,21.89417,0.49855339795918363,0.8072900000000018,-129033040.21658535,-112313068.76869297,19.815827,19.821553,18.876851,0,-0.047385153291861104
2020-01-24,19.603985,19.815827,19.437947,19.821553,16231708.376829,0,1,-0.0075647709599394085,0.02346148502653002,0.0059523850676398565,-0.021557024022680168,0.0002889191989901133,0.032886118266196314,0.022492568289516696,0.017776989519639116,0.038359230326306205,0.006478222864343738,0.013724859347044824,-0.01925377537041789,-0.002989558204552881,-0.010393549976679685,-0.016901790960897157,-0.206116999999999,24.640372242774305,21.89417,0.4903428695335276,0.38360600000000034,-131213454.32026984,-128544777.14552197,19.317712,19.518103,19.151673,0,-0.008595169034510963
2020-01-27,19.180301,19.317712,19.128772,19.518103,15825808.417419,0,1,-0.021849099134230512,-0.0075647709599394085,0.02346148502653002,0.0059523850676398565,0.010319998615019072,-0.01513856794463061,0.01745863112257551,0.007065081145895846,0.0002889191989901133,0.038359230326306205,0.006478222864343738,-0.009828806246629986,-0.01925377537041789,-0.002989558204552881,-0.010393549976679685,-0.8931719999999999,21.915375240183817,21.89417,0.48926216456684707,0.4752130000000001,-142850086.52546242,-144370585.56294096,19.334888,19.449398,18.790969,0,-0.028131479220360522
2020-01-28,19.174575,19.334888,19.065792,19.449398,18903938.109606,0,1,-0.00029858003152136994,-0.021849099134230512,-0.0075647709599394085,0.02346148502653002,0.005904985990248664,0.006793723158280914,-0.018664843401368782,0.01393235566583744,0.010319998615019072,0.0002889191989901133,0.038359230326306205,-0.014015397898878955,-0.009828806246629986,-0.01925377537041789,-0.002989558204552881,-0.8988979999999991,21.880157363449975,21.89417,0.48171529566921517,0.38360600000000034,-151032466.0599819,-163274523.67254695,19.289085,19.346339,18.845385,0,-0.02300264631526061
2020-01-29,18.876851,19.289085,18.848224,19.346339,22078537.792146,0,1,-0.01564882617921117,-0.00029858003152136994,-0.021849099134230512,-0.0075647709599394085,0.002963810719962783,0.0005920701706030445,0.0014808073386352832,-0.02397775922101449,0.005904985990248664,0.010319998615019072,0.0002889191989901133,-0.023120699940397234,-0.014015397898878955,-0.009828806246629986,-0.01925377537041789,-0.9504270000000012,20.073848225387216,21.89417,0.48288670312141424,0.4981150000000021,-170573267.3801254,-185353061.46469295,18.693636,19.166158,19.151673,1,0.025277158493938634
2020-01-30,19.151673,18.693636,18.653558,19.151673,45968775.403122,0,1,0.014453718182942898,-0.01564882617921117,-0.00029858003152136994,-0.021849099134230512,0.02420692965237701,-0.007149317154018606,-0.009521057703378391,-0.008632320535346068,0.002963810719962783,0.005904985990248664,0.010319998615019072,-0.0021462397086337336,-0.023120699940397234,-0.014015397898878955,-0.009828806246629986,-0.7156830000000021,26.13561287323258,21.89417,0.4839744386127417,0.49811499999999853,-124604491.9770034,-139384286.06157094,18.888302,19.544211,19.544211,1,0.03472567306473606
2020-01-31,18.790969,18.888302,18.630656,19.117321,28005777.199422,0,1,-0.01901369265529683,0.014453718182942898,-0.01564882617921117,-0.00029858003152136994,0.012051994100355071,0.022411637660819505,-0.008944609145576207,-0.011316349694936039,0.02420692965237701,0.002963810719962783,0.005904985990248664,-0.01373439262592027,-0.0021462397086337336,-0.023120699940397234,-0.014015397898878955,-1.2137980000000006,23.605144169631696,21.89417,0.4866203358546888,0.5210170000000005,-134159424.50844648,-167390063.26099294,18.902666,19.544211,19.544211,1,0.033939392464533924
2020-02-03,18.845385,18.902666,18.782376,19.080237,19344598.06554,0,1,0.0028916742529246997,-0.01901369265529683,0.014453718182942898,-0.01564882617921117,0.009350117007761317,0.01011029868353713,0.02046994224400167,-0.010886304562394046,0.012051994100355071,0.02420692965237701,0.002963810719962783,-0.006383986969553579,-0.01373439262592027,-0.0021462397086337336,-0.023120699940397234,-0.7528749999999995,24.78822511257403,21.89417,0.4731375261507825,0.29786100000000104,-145319777.03991774,-148045465.19545293,19.108877,19.561395,19.544211,1,0.023681035782479487
2020-02-04,18.994315,19.108877,18.845385,19.166158,17303328.269667,0,1,0.007871667535077197,0.0028916742529246997,-0.01901369265529683,0.014453718182942898,0.0029931281716218563,0.01384314933370888,0.014603331009484936,0.024962974569949403,0.009350117007761317,0.012051994100355071,0.02420692965237701,-0.013884935148322652,-0.006383986969553579,-0.01373439262592027,-0.0021462397086337336,-0.18598599999999976,28.071386925562724,21.89417,0.4622543457114408,0.3207729999999991,-146555763.7365626,-130742136.92578593,19.30936,19.801975,19.801975,1,0.025511720740614807
2020-02-05,19.108877,19.30936,19.108877,19.544211,38271086.172891,0,1,0.006013267613245533,0.007871667535077197,0.0028916742529246997,-0.01901369265529683,0.012089177607256335,0.022526138568463767,0.03337615973055087,0.034136341406326765,0.0029931281716218563,0.009350117007761317,0.012051994100355071,-0.010436960961207341,-0.013884935148322652,-0.006383986969553579,-0.01373439262592027,-0.18593299999999857,30.581675549027633,21.89417,0.46851446387490936,0.5498960000000004,-184826849.9094536,-92471050.75289494,19.303632,20.306046,19.801975,1,0.051928776926538855
2020-02-06,19.063052,19.303632,18.965675,19.326544,29136577.086342,0,1,-0.002400980155546675,0.006013267613245533,0.007871667535077197,0.0028916742529246997,0.0011862230545710555,0.0008895353468680747,0.011326496308075243,0.022176517470162395,0.012089177607256335,0.0029931281716218563,0.009350117007761317,-0.017662498347208837,-0.010436960961207341,-0.013884935148322652,-0.006383986969553579,-0.6897950000000002,30.12872653642632,21.89417,0.46082550216955853,0.36086899999999744,-198238981.46605107,-121607627.83923694,18.931307,20.32323,19.561395,1,0.0735249288387747
2020-02-07,19.30936,18.931307,18.902666,19.561395,40828695.91713,0,1,0.012837941116754077,-0.002400980155546675,0.006013267613245533,0.007871667535077197,0.03274097439843353,0.013264716347522234,0.012968028639819232,0.0234049896010264,0.0011862230545710555,0.012089177607256335,0.0029931281716218563,-0.001514036364680042,-0.017662498347208837,-0.010436960961207341,-0.013884935148322652,-0.2946249999999999,35.64599770970274,21.89417,0.47496146630030445,0.658729000000001,-188653058.75451493,-80778931.92210695,19.320816,20.32323,19.801975,1,0.05188259129428063
2020-02-10,19.63586,19.320816,19.292176,19.801975,50615174.938483,0,1,0.01676753396655023,0.012837941116754077,-0.002400980155546675,0.006013267613245533,0.024598616283487435,0.044964673517226,0.02548841546631459,0.02519172775861168,0.03274097439843353,0.0011862230545710555,0.012089177607256335,-0.0014834387996701284,-0.001514036364680042,-0.017662498347208837,-0.010436960961207341,0.45555900000000094,42.16533224966997,21.89417,0.4774498615645682,0.5097989999999974,-171023196.79195395,-30163756.98362395,20.139932,20.32323,19.366641,0,-0.038395909181818455
2020-02-11,20.088379,20.139932,19.842071,20.306046,105065279.493472,0,1,0.022784002253842476,0.01676753396655023,0.012837941116754077,-0.002400980155546675,0.008214163297483928,0.0497356102994576,0.07010166753319615,0.05062540948228474,0.024598616283487435,0.03274097439843353,0.0011862230545710555,-0.014900029429645984,-0.0014834387996701284,-0.001514036364680042,-0.017662498347208837,0.913803999999999,49.76162366584854,21.89417,0.4912167285956703,0.6701859999999975,-164537557.11315104,74901522.50984804,20.14566,20.32323,19.18907,0,-0.04748367638488882
2020-02-12,20.008186,20.14566,19.910808,20.32323,72906012.709399,0,1,-0.003999998848974243,0.022784002253842476,0.01676753396655023,0.012837941116754077,0.0087756861922081,0.009060055851643474,0.05058150285361708,0.07094756008735557,0.008214163297483928,0.024598616283487435,0.03274097439843353,-0.011726180704259228,-0.014900029429645984,-0.0014834387996701284,-0.001514036364680042,1.131335,48.54476510585904,21.89417,0.4855885336959795,0.4124219999999994,-203015524.24973482,1995509.8004490435,19.882168,19.927993,19.269263,0,-0.03082686958484615
2020-02-13,19.698869,19.882168,19.590036,19.927993,22312947.768705,0,1,-0.015580266885249177,-0.003999998848974243,0.022784002253842476,0.01676753396655023,0.002302177086872333,-0.01086345388344464,-0.010579084224009239,0.030942362777964378,0.0087756861922081,0.008214163297483928,0.024598616283487435,-0.014802179981350293,-0.011726180704259228,-0.014900029429645984,-0.0014834387996701284,0.5471959999999996,44.06840606045423,21.89417,0.4807714955748379,0.41814999999999714,-210957501.4836593,-20317437.968255956,19.630132,19.716054,19.544211,0,-0.004376995529118188
2020-02-14,19.366641,19.630132,19.286448,19.704597,34655936.534406,0,1,-0.01700917304067306,-0.015580266885249177,-0.003999998848974243,0.022784002253842476,0.0037862261086268776,-0.008971290832578808,-0.022136921802895764,-0.021852552143460262,0.002302177086872333,0.0087756861922081,0.008214163297483928,-0.01766305956329831,-0.014802179981350293,-0.011726180704259228,-0.014900029429645984,0.5756720000000008,39.82110591471564,21.89417,0.4762984601766352,0.41814899999999966,-232320743.22026035,-54973374.50266196,19.469746,19.716054,19.475474,0,0.0002942000373296061
