ativo|target|data|Close|Open|Low|High|ln_open|ln_high|log_return|log_return_binario|esmble_jan_tot|esmble_jan_par|in_precision|compra_esmble_jan_tot|rend_decisao_esmble_jan_tot|dias_esmble_jan_tot|venda_esmble_jan_tot|compra_esmble_jan_par|rend_decisao_esmble_jan_par|dias_esmble_jan_par|venda_esmble_jan_par|compra_in_precision|rend_decisao_in_precision|dias_in_precision|venda_in_precision
ITUB4|1.01|2020-06-04|15.781222|15.248672|15.077073|15.875897|2.724492417294353|2.764802047119476|0.0403096298251228|1|1|1|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
ITUB4|1.01|2020-06-05|16.130337|16.662887|16.083|16.982417|2.813183911041564|2.832178514687305|0.0189946036457411|1|0|1|1.0|16.662887|0.0191761487670174|0.0|16.82951587|16.662887|0.0191761487670174|0.0|16.82951587|16.662887|0.0191761487670174|0.0|16.82951587
ITUB4|1.01|2020-06-08|16.781231|16.33744|16.278268|16.852238|2.7934594064110794|2.8244834669698076|0.0310240605587281|1|1|1|1.0|0.0|0.0|0.0|0.0|16.33744|0.03151032230263731|0.0|16.5008144|16.33744|0.03151032230263731|0.0|16.5008144
ITUB4|1.01|2020-06-09|16.449867|16.313771|16.130337|16.710225|2.7920095977564534|2.8160208075076736|0.0240112097512201|1|1|1|1.0|16.313771|0.02430179999461817|0.0|16.47690871|16.313771|0.02430179999461817|0.0|16.47690871|16.313771|0.02430179999461817|0.0|16.47690871
ITUB4|1.01|2020-06-10|15.733884|16.633301|15.668794|16.668804|2.8114067701996985|2.8135389485379907|0.0021321783382921|0|1|1|1.0|16.633301|0.0021344530469329004|1.0|0.0|16.633301|0.0021344530469329004|1.0|0.0|16.633301|0.0021344530469329004|1.0|0.0
ITUB4|1.01|2020-06-12|15.420271|15.331513|15.159914|15.603705|2.729910383382214|2.7475083860568312|0.0175980026746174|1|1|1|1.0|16.633301|-0.06189967944426664|2.0|0.0|16.633301|-0.06189967944426664|2.0|0.0|16.633301|-0.06189967944426664|2.0|0.0
ITUB4|1.01|2020-06-15|15.059321|14.852218|14.810798|15.378851|2.6981492143649346|2.7329932538745365|0.0348440395096019|1|1|1|1.0|16.633301|-0.0754179822754365|3.0|0.0|16.633301|-0.0754179822754365|3.0|0.0|16.633301|-0.0754179822754365|3.0|0.0
ITUB4|1.01|2020-06-16|15.491278|15.680629|15.207251|15.722049|2.752426128913603|2.7550641220185335|0.0026379931049302|0|1|1|1.0|16.633301|-0.05478479587425246|4.0|15.491278|16.633301|-0.05478479587425246|4.0|15.491278|16.633301|-0.05478479587425246|4.0|15.491278
ITUB4|1.01|2020-06-17|15.686546|15.491278|15.473526|15.940986|2.7402771558672736|2.7688935284126193|0.0286163725453456|1|1|1|1.0|15.491278|0.029029754678729612|0.0|15.64619078|15.491278|0.029029754678729612|0.0|15.64619078|15.491278|0.029029754678729612|0.0|15.64619078
ITUB4|1.01|2020-06-18|16.301937|15.680629|15.574119|16.514957|2.752426128913603|2.8042664551457515|0.0518403262321482|1|1|1|1.0|15.680629|0.05320755946716164|0.0|15.83743529|15.680629|0.05320755946716164|0.0|15.83743529|15.680629|0.05320755946716164|0.0|15.83743529
ITUB4|1.01|2020-06-19|16.621467|16.627384|16.319688|16.710225|2.8110509747575767|2.8160208075076736|0.0049698327500968|0|1|1|1.0|16.627384|0.0049822028528361375|1.0|0.0|16.627384|0.0049822028528361375|1.0|0.0|16.627384|0.0049822028528361375|1.0|0.0
ITUB4|1.01|2020-06-22|16.106669|16.59188|15.923235|16.710225|2.8089134190598606|2.8160208075076736|0.007107388447813|0|0|1|1.0|16.627384|0.0049822028528361375|2.0|0.0|16.627384|0.0049822028528361375|2.0|0.0|16.627384|0.0049822028528361375|2.0|0.0
ITUB4|1.01|2020-06-23|15.893649|16.390695|15.716132|16.420281|2.7967137957615384|2.798517217154344|0.0018034213928053|0|0|1|1.0|16.627384|-0.012455537202965905|3.0|0.0|16.627384|-0.012455537202965905|3.0|0.0|16.627384|-0.012455537202965905|3.0|0.0
ITUB4|1.01|2020-06-24|15.290092|15.852228|15.148079|15.929152|2.7633100582679027|2.7681508896111255|0.0048408313432228|0|1|1|1.0|16.627384|-0.041992895575154766|4.0|15.290092|16.627384|-0.041992895575154766|4.0|15.290092|16.627384|-0.041992895575154766|4.0|15.290092
ITUB4|1.01|2020-06-25|15.473526|15.40252|15.094824|15.580036|2.7345311323962505|2.745990351094618|0.0114592186983677|1|1|1|1.0|15.40252|0.01152512705713084|0.0|15.5565452|15.40252|0.01152512705713084|0.0|15.5565452|15.40252|0.01152512705713084|0.0|15.5565452
ITUB4|1.01|2020-06-26|15.213169|15.213169|15.112576|15.514947|2.7221614343392906|2.7418038818455237|0.0196424475062331|1|1|1|1.0|15.213169|0.019836629698914063|0.0|15.365300690000002|15.213169|0.019836629698914063|0.0|15.365300690000002|15.213169|0.019836629698914063|0.0|15.365300690000002
ITUB4|1.01|2020-06-29|15.668794|15.325596|15.236837|15.692463|2.7295243717675195|2.753180533392527|0.0236561616250079|1|1|1|1.0|15.325596|0.023938188113532363|0.0|15.478851960000002|15.325596|0.023938188113532363|0.0|15.478851960000002|15.325596|0.023938188113532363|0.0|15.478851960000002
ITUB4|1.01|2020-06-30|15.059321|15.514947|15.059321|15.568202|2.7418038818455237|2.7452305006934887|0.003426618847965|0|0|1|1.0|15.514947|0.0034324964178092296|1.0|0.0|15.514947|0.0034324964178092296|1.0|0.0|15.514947|0.0034324964178092296|1.0|0.0
ITUB4|1.01|2020-07-01|15.453042|15.157007|15.121482|15.51817|2.71846293328223|2.742011595431729|0.0235486621494986|1|1|1|1.0|15.514947|0.00020773516016523924|2.0|0.0|15.514947|0.00020773516016523924|2.0|0.0|15.514947|0.00020773516016523924|2.0|0.0
ITUB4|1.01|2020-07-02|15.719474|15.68987|15.636584|16.133923|2.75301528117843|2.7809240739733334|0.0279087927949035|1|1|1|1.0|15.514947|0.039895463387660944|0.0|15.670096469999999|15.514947|0.039895463387660944|0.0|15.670096469999999|15.514947|0.039895463387660944|0.0|15.670096469999999
ITUB4|1.01|2020-07-03|15.68987|15.624742|15.512249|15.802364|2.7488556834861404|2.760159549094092|0.0113038656079513|1|0|1|0.0|15.624742|0.011367995708345218|0.0|15.78098942|15.624742|0.011367995708345218|0.0|15.78098942|15.624742|0.011367995708345218|0.0|15.78098942
ITUB4|1.01|2020-07-06|16.418117|16.056954|15.897095|16.489165|2.7761420267692736|2.802703498539879|0.0265614717706053|1|1|1|1.0|0.0|0.0|0.0|0.0|16.056954|0.026917371750582255|0.0|16.217523540000002|0.0|0.0|0.0|0.0
ITUB4|1.01|2020-07-07|15.612901|16.240496|15.583297|16.406276|2.7875078761390597|2.797663944552546|0.0101560684134862|1|0|1|1.0|16.240496|0.010207816312999187|0.0|16.40290096|16.240496|0.010207816312999187|0.0|16.40290096|16.240496|0.010207816312999187|0.0|16.40290096
ITUB4|1.01|2020-07-08|15.950381|15.778681|15.68987|16.02735|2.7586597251053977|2.7742966379211143|0.0156369128157165|1|1|1|1.0|0.0|0.0|0.0|0.0|15.778681|0.01575980907402829|0.0|15.93646781|15.778681|0.01575980907402829|0.0|15.93646781
ITUB4|1.01|2020-07-09|15.956302|15.997747|15.737236|16.086557|2.7724478998247704|2.777983954265588|0.0055360544408178|0|1|1|1.0|15.997747|0.005551406707456914|1.0|0.0|15.997747|0.005551406707456914|1.0|0.0|15.997747|0.005551406707456914|1.0|0.0
ITUB4|1.01|2020-07-10|16.10432|15.956302|15.760919|16.169447|2.7698538609134316|2.783123473870013|0.0132696129565812|1|1|1|1.0|15.997747|0.010732761306951616|0.0|16.15772447|15.997747|0.010732761306951616|0.0|16.15772447|15.997747|0.010732761306951616|0.0|16.15772447
ITUB4|1.01|2020-07-13|15.867491|16.252337|15.867491|16.311544|2.788236713819921|2.791873078001566|0.003636364181645|0|1|1|1.0|16.252337|0.0036429837751949566|1.0|0.0|16.252337|0.0036429837751949566|1.0|0.0|16.252337|0.0036429837751949566|1.0|0.0
ITUB4|1.01|2020-07-14|16.133923|15.837888|15.654346|16.234575|2.7624050441632675|2.787143227201688|0.0247381830384205|1|1|1|1.0|16.252337|-0.0010928889795972828|2.0|0.0|16.252337|-0.0010928889795972828|2.0|0.0|16.252337|-0.0010928889795972828|2.0|0.0
ITUB4|1.01|2020-07-15|16.246417|16.305624|16.02735|16.459562|2.791510078978168|2.800906584931324|0.0093965059531559|0|1|1|1.0|16.252337|0.012750473977988367|0.0|16.41486037|16.252337|0.012750473977988367|0.0|16.41486037|16.252337|0.012750473977988367|0.0|16.41486037
