ativo,target,janela,data,target_real,resultado_real,RNA,Random Forest,SVC,ensemble_tecnicas
VALE3,1.01,60,2020-08-06,1,0.0232936893104436,1,1,1,1
VALE3,1.01,60,2020-08-07,1,0.0349258527289895,1,1,1,1
VALE3,1.01,60,2020-08-10,0,-0.0229335824594626,1,1,1,1
VALE3,1.01,60,2020-08-11,1,0.028252313750203,1,1,1,1
VALE3,1.01,60,2020-08-12,1,0.0374592842216223,1,1,0,0
VALE3,1.01,60,2020-08-13,1,0.0584921084548073,1,1,1,1
VALE3,1.01,60,2020-08-14,1,0.0339915698215425,1,1,1,1
VALE3,1.01,60,2020-08-17,0,-0.017377564125757,1,1,1,1
VALE3,1.01,60,2020-08-18,0,-0.0070966770956596,1,1,1,1
VALE3,1.01,60,2020-08-19,1,0.0271756553086404,0,1,0,0
VALE3,1.01,60,2020-08-20,1,0.0115366098587961,1,1,1,1
VALE3,1.01,60,2020-08-21,0,-0.03415953373041,1,1,1,1
VALE3,1.01,60,2020-08-24,0,-0.0270700496378446,1,1,1,1
VALE3,1.01,60,2020-08-25,1,0.0111903939392246,1,1,0,0
VALE3,1.01,60,2020-08-26,0,0.0011347107179746,1,1,1,1
VALE3,1.01,60,2020-08-27,1,0.0189604460133292,1,1,1,1
VALE3,1.01,60,2020-08-28,1,0.0202945786276522,1,1,1,1
VALE3,1.01,60,2020-08-31,1,0.0340023048827946,1,1,1,1
VALE3,1.01,60,2020-09-01,0,-0.0424879072901872,1,1,1,1
VALE3,1.01,60,2020-09-02,0,0.0,1,1,1,1
VALE3,1.01,60,2020-09-03,1,0.0132306167771296,1,1,1,1
VALE3,1.01,60,2020-09-04,1,0.0454774039525209,1,1,1,1
VALE3,1.01,60,2020-09-08,1,0.0575959944982809,1,1,1,1
VALE3,1.01,60,2020-09-09,1,0.0608333209452089,1,1,1,1
VALE3,1.01,60,2020-09-10,1,0.0599500546419444,1,1,1,1
VALE3,1.01,60,2020-09-11,1,0.0135350379941963,1,1,1,1
VALE3,1.01,60,2020-09-14,1,0.0149896473163242,1,0,1,0
VALE3,1.01,60,2020-09-15,1,0.0125160476106465,1,1,1,1
VALE3,1.01,60,2020-09-16,1,0.0447019897033829,1,1,0,0
VALE3,1.01,60,2020-09-17,0,-0.0145566458755446,1,1,1,1
VALE3,1.01,60,2020-09-18,1,0.0201298073815021,1,1,1,1
VALE3,1.01,60,2020-09-21,1,0.0282077603627028,1,1,1,1
VALE3,1.01,60,2020-09-22,1,0.0445639078027169,1,1,1,1
VALE3,1.01,60,2020-09-23,0,-0.0224493205938283,1,1,1,1
VALE3,1.01,60,2020-09-24,1,0.0329048894692902,1,1,1,1
VALE3,1.01,60,2020-09-25,0,-0.0180179946215415,1,1,1,1
VALE3,1.01,60,2020-09-28,1,0.0262217011948004,1,1,1,1
VALE3,1.01,60,2020-09-29,1,0.0179023886671967,1,1,1,1
VALE3,1.01,60,2020-09-30,1,0.0125986716012407,1,1,1,1
VALE3,1.01,60,2020-10-01,1,0.0366831544602139,1,1,1,1
VALE3,1.01,60,2020-10-02,1,0.0439728399842724,1,1,1,1
VALE3,1.01,60,2020-10-05,1,0.0321612957615697,1,1,1,1
VALE3,1.01,60,2020-10-06,1,0.0591816077718367,1,1,1,1
VALE3,1.01,60,2020-10-07,1,0.0487158457454115,1,1,1,1
VALE3,1.01,60,2020-10-08,1,0.0259361538362705,1,1,1,1
VALE3,1.01,60,2020-10-09,1,0.0329688360259354,1,1,1,1
VALE3,1.01,60,2020-10-13,1,0.0194909932010038,1,1,0,0
VALE3,1.01,60,2020-10-14,1,0.0123377705717804,1,1,0,0
VALE3,1.01,60,2020-10-15,0,0.0023923512249457,0,0,1,0
VALE3,1.01,60,2020-10-16,1,0.0121154087486872,1,1,1,1
VALE3,1.01,60,2020-10-19,1,0.0341534249866328,1,1,1,1
VALE3,1.01,60,2020-10-20,1,0.036334133037585,1,1,1,1
VALE3,1.01,60,2020-10-21,1,0.0123593619357174,1,1,1,1
VALE3,1.01,60,2020-10-22,1,0.0202810617656685,1,1,1,1
VALE3,1.01,60,2020-10-23,0,-0.0139904548103012,1,1,1,1
VALE3,1.01,60,2020-10-26,0,-0.0312000109791271,1,1,1,1
VALE3,1.01,60,2020-10-27,1,0.0224374513026957,1,1,1,1
VALE3,1.01,60,2020-10-28,1,0.0388715763388365,1,0,1,0
VALE3,1.01,60,2020-10-29,1,0.0249190762752706,1,1,1,1
VALE3,1.01,60,2020-10-30,1,0.0332794837419012,1,0,1,0
VALE3,1.01,60,2020-11-03,1,0.0156447622390885,1,1,1,1
VALE3,1.01,60,2020-11-04,1,0.0316211948973468,1,1,1,1
VALE3,1.01,60,2020-11-05,1,0.0302981706257077,1,1,1,1
VALE3,1.01,60,2020-11-06,0,-0.023070947496099,1,1,1,1
VALE3,1.01,60,2020-11-09,1,0.0107526730476725,0,1,1,0
VALE3,1.01,60,2020-11-10,1,0.0341880397749476,1,1,1,1
VALE3,1.01,60,2020-11-11,1,0.0712600331970574,1,1,1,1
VALE3,1.01,60,2020-11-12,1,0.0856049809141998,1,1,1,1
VALE3,1.01,60,2020-11-13,1,0.0724409477181697,1,1,1,1
VALE3,1.01,60,2020-11-16,1,0.0561728409739017,1,1,1,1
VALE3,1.01,60,2020-11-17,1,0.0646365094259495,1,0,1,0
VALE3,1.01,60,2020-11-18,1,0.1226202877624866,1,1,1,1
VALE3,1.01,60,2020-11-19,1,0.1173266564234567,0,1,1,0
VALE3,1.01,60,2020-11-20,1,0.1132102976594915,1,1,1,1
VALE3,1.01,60,2020-11-23,1,0.108796642405009,1,1,1,1
VALE3,1.01,60,2020-11-24,1,0.0753387360406159,0,1,1,0
