ativo,target,janela,data,target_real,resultado_real,RNA,Random Forest,SVC,ensemble_tecnicas
PETR4,1.01,60,2020-08-06,1,0.0446194194832698,1,1,1,1
PETR4,1.01,60,2020-08-07,1,0.0427946697901173,1,1,1,1
PETR4,1.01,60,2020-08-10,0,-0.043863313204523,1,1,1,1
PETR4,1.01,60,2020-08-11,1,0.0136985630868819,1,1,1,1
PETR4,1.01,60,2020-08-12,0,-0.0183368657117317,1,1,1,1
PETR4,1.01,60,2020-08-13,1,0.0241545223046959,1,1,1,1
PETR4,1.01,60,2020-08-14,1,0.0282187076994067,1,1,1,1
PETR4,1.01,60,2020-08-17,1,0.0170081795308165,1,1,1,1
PETR4,1.01,60,2020-08-18,1,0.0161219301653134,1,1,1,1
PETR4,1.01,60,2020-08-19,1,0.0279750845433317,1,1,1,1
PETR4,1.01,60,2020-08-20,1,0.0270629836898488,1,1,1,1
PETR4,1.01,60,2020-08-21,1,0.0126859681879138,1,1,1,1
PETR4,1.01,60,2020-08-24,0,-0.0238197708992099,1,1,1,1
PETR4,1.01,60,2020-08-25,0,-0.0390693426912408,1,1,1,1
PETR4,1.01,60,2020-08-26,1,0.0255376864539942,1,1,1,1
PETR4,1.01,60,2020-08-27,1,0.038202294401777,1,1,1,1
PETR4,1.01,60,2020-08-28,1,0.0358423484498409,1,1,1,1
PETR4,1.01,60,2020-08-31,1,0.0414414496297004,1,1,1,1
PETR4,1.01,60,2020-09-01,0,-0.0292193983295993,1,1,1,1
PETR4,1.01,60,2020-09-02,1,0.022556388740814,1,1,1,1
PETR4,1.01,60,2020-09-03,0,-0.0382609387307091,1,1,1,1
PETR4,1.01,60,2020-09-04,1,0.0120000872864061,1,1,1,1
PETR4,1.01,60,2020-09-08,1,0.0124499730473133,1,1,1,1
PETR4,1.01,60,2020-09-09,0,-0.0403011017949909,1,1,1,1
PETR4,1.01,60,2020-09-10,0,-0.017630994549549,1,1,1,1
PETR4,1.01,60,2020-09-11,1,0.0104831382002961,1,1,1,1
PETR4,1.01,60,2020-09-14,0,-0.0150136375646784,1,1,1,1
PETR4,1.01,60,2020-09-15,1,0.0146452375697476,1,1,1,1
PETR4,1.01,60,2020-09-16,1,0.0306833821355105,1,0,1,0
PETR4,1.01,60,2020-09-17,0,-0.0800363788514509,1,1,1,1
PETR4,1.01,60,2020-09-18,0,-0.0418036422499988,1,1,1,1
PETR4,1.01,60,2020-09-21,1,0.0186067541057357,1,1,1,1
PETR4,1.01,60,2020-09-22,0,-0.0562499747376964,1,1,1,1
PETR4,1.01,60,2020-09-23,1,0.023221412747818,0,1,1,0
PETR4,1.01,60,2020-09-24,1,0.0203474069648286,1,0,1,0
PETR4,1.01,60,2020-09-25,1,0.0113133328205419,1,1,1,1
PETR4,1.01,60,2020-09-28,1,0.021905220540078,1,1,1,1
PETR4,1.01,60,2020-09-29,1,0.0338461294368095,1,1,1,1
PETR4,1.01,60,2020-09-30,1,0.0539715823146123,1,1,1,1
PETR4,1.01,60,2020-10-01,1,0.0491637106908913,0,1,1,0
PETR4,1.01,60,2020-10-02,1,0.069214968807024,1,1,1,1
PETR4,1.01,60,2020-10-05,1,0.0112359569020807,1,1,1,1
PETR4,1.01,60,2020-10-06,1,0.0295000215226755,1,1,1,1
PETR4,1.01,60,2020-10-07,1,0.0274450333279576,1,1,1,1
PETR4,1.01,60,2020-10-08,0,-0.0290069025790472,1,1,1,1
PETR4,1.01,60,2020-10-09,1,0.023103971418408,0,1,1,0
PETR4,1.01,60,2020-10-13,1,0.0139372769807193,1,1,1,1
PETR4,1.01,60,2020-10-14,1,0.033129541417626,1,1,1,1
PETR4,1.01,60,2020-10-15,1,0.0335536127262254,1,1,1,1
PETR4,1.01,60,2020-10-16,1,0.0736733755814722,1,1,1,1
PETR4,1.01,60,2020-10-19,1,0.0747332019510054,1,1,1,1
PETR4,1.01,60,2020-10-20,1,0.0486111782990374,1,1,1,1
