ativo,target,janela,data,target_real,resultado_real,RNA,Random Forest,SVC,ensemble_tecnicas
ITUB4,1.01,60,2020-08-04,1,0.0114722531177198,1,1,1,1
ITUB4,1.01,60,2020-08-05,1,0.0291828894726329,1,1,1,1
ITUB4,1.01,60,2020-08-06,1,0.0319937620696397,1,1,1,1
ITUB4,1.01,60,2020-08-07,1,0.0301724220613508,1,1,1,1
ITUB4,1.01,60,2020-08-10,0,-0.0532159525713544,1,1,1,1
ITUB4,1.01,60,2020-08-11,0,-0.0603347770534901,1,1,1,1
ITUB4,1.01,60,2020-08-12,0,-0.0458277134218768,1,1,0,0
ITUB4,1.01,60,2020-08-13,1,0.0260480446429944,1,0,1,0
ITUB4,1.01,60,2020-08-14,0,-0.0221293053693227,1,0,1,0
ITUB4,1.01,60,2020-08-17,0,-0.0219333838774211,1,0,1,0
ITUB4,1.01,60,2020-08-18,1,0.0209703957335603,1,0,1,0
ITUB4,1.01,60,2020-08-19,1,0.0476793111604112,0,0,0,1
ITUB4,1.01,60,2020-08-20,1,0.038477640629406,1,1,1,1
ITUB4,1.01,60,2020-08-21,1,0.0239175171518604,0,1,1,0
ITUB4,1.01,60,2020-08-24,0,-0.0085227676662281,1,1,1,1
ITUB4,1.01,60,2020-08-25,1,0.0106995536203511,1,1,1,1
ITUB4,1.01,60,2020-08-26,1,0.0280451867478208,1,1,1,1
ITUB4,1.01,60,2020-08-27,1,0.0106995536203511,0,1,1,0
ITUB4,1.01,60,2020-08-28,1,0.0556993363520099,1,1,1,1
ITUB4,1.01,60,2020-08-31,1,0.0682865540187092,1,1,1,1
ITUB4,1.01,60,2020-09-01,1,0.0472278966949555,1,1,1,1
ITUB4,1.01,60,2020-09-02,1,0.0537189746357746,1,1,1,1
ITUB4,1.01,60,2020-09-03,0,-0.049682071299363,1,1,1,1
ITUB4,1.01,60,2020-09-04,1,0.0101791466760754,1,1,1,1
ITUB4,1.01,60,2020-09-08,0,-0.0223577098086357,1,1,1,1
ITUB4,1.01,60,2020-09-09,1,0.0106557448863138,1,1,1,1
ITUB4,1.01,60,2020-09-10,1,0.0116909874562709,1,1,1,1
ITUB4,1.01,60,2020-09-11,1,0.0184951403690551,1,1,1,1
ITUB4,1.01,60,2020-09-14,0,-0.0442697578550813,1,1,1,1
ITUB4,1.01,60,2020-09-15,1,0.0193602722823218,1,1,1,1
ITUB4,1.01,60,2020-09-16,1,0.0140425154873733,1,1,1,1
ITUB4,1.01,60,2020-09-17,0,-0.0434042559897153,1,1,1,1
ITUB4,1.01,60,2020-09-18,1,0.0259341097752121,1,1,1,1
ITUB4,1.01,60,2020-09-21,1,0.0214442476082039,1,1,1,1
ITUB4,1.01,60,2020-09-22,1,0.0427574347903934,0,0,1,0
ITUB4,1.01,60,2020-09-23,1,0.0622222597945596,1,1,1,1
ITUB4,1.01,60,2020-09-24,1,0.0477860888660908,1,1,1,1
ITUB4,1.01,60,2020-09-25,1,0.0279570454537556,1,1,1,1
ITUB4,1.01,60,2020-09-28,1,0.0190203345378421,1,1,1,1
ITUB4,1.01,60,2020-09-29,1,0.0334616661951561,1,1,1,1
ITUB4,1.01,60,2020-09-30,1,0.0368070339132116,1,1,1,1
ITUB4,1.01,60,2020-10-01,1,0.0456171422342353,1,1,1,1
ITUB4,1.01,60,2020-10-02,1,0.0686619753504143,1,1,1,1
ITUB4,1.01,60,2020-10-05,1,0.0658293744983689,1,1,1,1
ITUB4,1.01,60,2020-10-06,1,0.073266450767367,1,1,1,1
ITUB4,1.01,60,2020-10-07,1,0.0831865955059465,1,1,1,1
ITUB4,1.01,60,2020-10-08,1,0.0297071430969475,1,1,1,1
ITUB4,1.01,60,2020-10-09,0,-0.0362802404900939,1,1,1,1
ITUB4,1.01,60,2020-10-13,0,-0.0221850319809396,1,1,1,1
ITUB4,1.01,60,2020-10-14,1,0.0400681808990803,1,1,1,1
ITUB4,1.01,60,2020-10-15,1,0.0653566390432678,1,0,1,0
ITUB4,1.01,60,2020-10-16,1,0.11483876634427,1,1,1,1
ITUB4,1.01,60,2020-10-19,1,0.118197300318922,1,1,1,1
ITUB4,1.01,60,2020-10-20,1,0.0840890475106483,1,1,1,1
ITUB4,1.01,60,2020-10-21,1,0.0704110699652349,1,1,1,1
ITUB4,1.01,60,2020-10-22,1,0.0154440317436874,1,1,1,1
ITUB4,1.01,60,2020-10-23,1,0.0343873595312316,1,1,1,1
ITUB4,1.01,60,2020-10-26,0,-0.1003831759877499,1,1,1,1
ITUB4,1.01,60,2020-10-27,0,-0.0080259077651153,0,1,1,0
ITUB4,1.01,60,2020-10-28,1,0.0923010194563827,1,1,1,1
ITUB4,1.01,60,2020-10-29,1,0.09753006142946,1,1,1,1
ITUB4,1.01,60,2020-10-30,1,0.0853556306420686,1,1,1,1
ITUB4,1.01,60,2020-11-03,1,0.098823556402056,1,1,1,1
ITUB4,1.01,60,2020-11-04,1,0.1426891105399597,0,1,1,0
ITUB4,1.01,60,2020-11-05,1,0.1499013403847908,0,1,1,0
ITUB4,1.01,60,2020-11-06,1,0.0901271280955002,1,1,1,1
ITUB4,1.01,60,2020-11-09,1,0.0542495176861386,1,1,1,1
ITUB4,1.01,60,2020-11-10,1,0.0288595095407218,1,1,1,1
ITUB4,1.01,60,2020-11-11,1,0.0418719310893587,1,1,1,1
ITUB4,1.01,60,2020-11-12,1,0.0511182678695223,1,1,1,1
ITUB4,1.01,60,2020-11-13,1,0.0203308279387699,1,1,1,1
ITUB4,1.01,60,2020-11-16,0,-0.027919660922846,1,1,1,1
ITUB4,1.01,60,2020-11-17,0,-0.0180088230517778,1,1,1,1
ITUB4,1.01,60,2020-11-18,1,0.0442906605390951,1,1,1,1
ITUB4,1.01,60,2020-11-19,1,0.0508356418377982,1,1,1,1
ITUB4,1.01,60,2020-11-20,1,0.0461005322107046,1,1,1,1
ITUB4,1.01,60,2020-11-23,1,0.0371134289809937,1,1,1,1
ITUB4,1.01,60,2020-11-24,0,-0.03578660750852,1,1,1,1
ITUB4,1.01,60,2020-11-25,1,0.0408332238538822,1,1,1,1
ITUB4,1.01,60,2020-11-26,1,0.0494321492152238,1,1,1,1
ITUB4,1.01,60,2020-11-27,1,0.0664901952398673,1,1,1,1
