ativo,target,janela,data,target_real,resultado_real,RNA,Random Forest,SVC,ensemble_tecnicas
ITUB4,1.01,60,2020-04-22,1,0.01,1,0,1,0
ITUB4,1.01,60,2020-04-23,1,0.01,0,1,1,0
ITUB4,1.01,60,2020-04-24,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-04-27,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-04-28,0,-0.0535429469946082,1,1,1,1
ITUB4,1.01,60,2020-04-29,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-04-30,1,0.01,1,0,1,0
ITUB4,1.01,60,2020-05-04,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-05-05,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-05-06,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-05-07,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-05-08,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-05-11,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-05-12,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-05-13,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-05-14,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-05-15,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-05-18,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-05-19,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-05-20,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-05-21,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-05-22,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-05-25,0,-0.0530209449775563,1,1,1,1
ITUB4,1.01,60,2020-05-26,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-05-27,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-05-28,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-05-29,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-06-01,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-06-02,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-06-03,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-06-04,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-06-05,1,0.01,0,1,1,0
ITUB4,1.01,60,2020-06-08,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-06-09,0,-0.0686588308598515,1,1,1,1
ITUB4,1.01,60,2020-06-10,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-06-12,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-06-15,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-06-16,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-06-17,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-06-18,0,-0.0804270834185341,1,1,1,1
ITUB4,1.01,60,2020-06-19,0,-0.0674036938550665,1,1,1,1
ITUB4,1.01,60,2020-06-22,0,-0.0718411269320794,1,1,1,1
ITUB4,1.01,60,2020-06-23,0,-0.0115714964483225,1,1,1,1
ITUB4,1.01,60,2020-06-24,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-06-25,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-06-26,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-06-29,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-06-30,1,0.01,0,1,1,0
ITUB4,1.01,60,2020-07-01,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-07-02,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-07-03,1,0.01,1,0,1,0
ITUB4,1.01,60,2020-07-06,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-07-07,1,0.01,1,0,1,0
ITUB4,1.01,60,2020-07-08,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-07-09,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-07-10,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-07-13,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-07-14,0,-0.0087146005574519,1,1,1,1
ITUB4,1.01,60,2020-07-15,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-07-16,1,0.01,1,0,1,0
ITUB4,1.01,60,2020-07-17,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-07-20,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-07-21,0,-0.0017953001258705,1,1,1,1
ITUB4,1.01,60,2020-07-22,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-07-23,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-07-24,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-07-27,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-07-28,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-07-29,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-07-30,0,-0.0807325903076521,1,1,1,1
ITUB4,1.01,60,2020-07-31,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-08-03,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-08-04,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-08-05,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-08-06,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-08-07,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-08-10,0,-0.0532159525713544,1,1,1,1
ITUB4,1.01,60,2020-08-11,0,-0.0603347770534901,1,1,1,1
ITUB4,1.01,60,2020-08-12,0,-0.0458277134218768,1,1,0,0
ITUB4,1.01,60,2020-08-13,1,0.01,1,0,1,0
ITUB4,1.01,60,2020-08-14,0,-0.0221293053693227,1,0,1,0
ITUB4,1.01,60,2020-08-17,0,-0.0219333838774211,1,0,1,0
ITUB4,1.01,60,2020-08-18,1,0.01,1,0,1,0
ITUB4,1.01,60,2020-08-19,1,0.01,0,0,0,1
ITUB4,1.01,60,2020-08-20,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-08-21,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-08-24,0,-0.0085227676662281,1,1,1,1
ITUB4,1.01,60,2020-08-25,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-08-26,1,0.01,0,1,1,0
ITUB4,1.01,60,2020-08-27,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-08-28,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-08-31,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-09-01,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-09-02,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-09-03,0,-0.049682071299363,1,1,1,1
ITUB4,1.01,60,2020-09-04,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-09-08,0,-0.0223577098086357,1,1,1,1
ITUB4,1.01,60,2020-09-09,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-09-10,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-09-11,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-09-14,0,-0.0442697578550813,1,1,1,1
ITUB4,1.01,60,2020-09-15,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-09-16,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-09-17,0,-0.0434042559897153,1,1,1,1
ITUB4,1.01,60,2020-09-18,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-09-21,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-09-22,1,0.01,1,0,1,0
ITUB4,1.01,60,2020-09-23,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-09-24,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-09-25,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-09-28,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-09-29,1,0.01,0,1,1,0
ITUB4,1.01,60,2020-09-30,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-10-01,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-10-02,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-10-05,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-10-06,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-10-07,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-10-08,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-10-09,0,-0.0362802404900939,1,1,1,1
ITUB4,1.01,60,2020-10-13,0,-0.0221850319809396,1,1,1,1
ITUB4,1.01,60,2020-10-14,1,0.01,1,1,1,1
ITUB4,1.01,60,2020-10-15,1,0.01,1,0,1,0
ITUB4,1.01,60,2020-10-16,1,0.01,1,1,1,1
