ativo,target,janela,data,target_real,resultado_real,RNA,Random Forest,SVC,ensemble_tecnicas
PETR4,1.01,60,2020-09-04,1,0.01,1,1,1,1
PETR4,1.01,60,2020-09-08,1,0.01,1,1,1,1
PETR4,1.01,60,2020-09-09,0,-0.0403011017949909,1,1,1,1
PETR4,1.01,60,2020-09-10,0,-0.017630994549549,1,1,1,1
PETR4,1.01,60,2020-09-11,1,0.01,1,1,1,1
PETR4,1.01,60,2020-09-14,0,-0.0150136375646784,1,1,1,1
PETR4,1.01,60,2020-09-15,1,0.01,1,1,1,1
PETR4,1.01,60,2020-09-16,1,0.01,1,0,1,0
PETR4,1.01,60,2020-09-17,0,-0.0800363788514509,1,1,1,1
PETR4,1.01,60,2020-09-18,0,-0.0418036422499988,1,1,1,1
PETR4,1.01,60,2020-09-21,1,0.01,1,1,1,1
PETR4,1.01,60,2020-09-22,0,-0.0562499747376964,1,1,1,1
PETR4,1.01,60,2020-09-23,1,0.01,0,1,1,0
PETR4,1.01,60,2020-09-24,1,0.01,1,0,1,0
PETR4,1.01,60,2020-09-25,1,0.01,1,1,1,1
PETR4,1.01,60,2020-09-28,1,0.01,1,1,1,1
PETR4,1.01,60,2020-09-29,1,0.01,1,1,1,1
PETR4,1.01,60,2020-09-30,1,0.01,1,1,1,1
PETR4,1.01,60,2020-10-01,1,0.01,1,1,1,1
PETR4,1.01,60,2020-10-02,1,0.01,1,1,1,1
PETR4,1.01,60,2020-10-05,1,0.01,1,1,1,1
PETR4,1.01,60,2020-10-06,1,0.01,1,1,1,1
PETR4,1.01,60,2020-10-07,1,0.01,1,1,1,1
PETR4,1.01,60,2020-10-08,0,-0.0290069025790472,0,1,1,0
PETR4,1.01,60,2020-10-09,1,0.01,1,1,1,1
PETR4,1.01,60,2020-10-13,1,0.01,1,1,1,1
PETR4,1.01,60,2020-10-14,1,0.01,1,1,1,1
PETR4,1.01,60,2020-10-15,1,0.01,1,1,1,1
PETR4,1.01,60,2020-10-16,1,0.01,1,1,1,1
PETR4,1.01,60,2020-10-19,1,0.01,1,1,1,1
PETR4,1.01,60,2020-10-20,1,0.01,1,1,1,1
PETR4,1.01,60,2020-10-21,1,0.01,1,1,1,1
PETR4,1.01,60,2020-10-22,0,-0.108405109836036,1,1,1,1
PETR4,1.01,60,2020-10-23,0,-0.0511558893661155,1,1,1,1
PETR4,1.01,60,2020-10-26,0,-0.0651529662894865,1,1,1,1
PETR4,1.01,60,2020-10-27,1,0.01,1,1,1,1
PETR4,1.01,60,2020-10-28,1,0.01,1,1,1,1
PETR4,1.01,60,2020-10-29,1,0.01,1,1,1,1
PETR4,1.01,60,2020-10-30,1,0.01,1,1,1,1
PETR4,1.01,60,2020-11-03,1,0.01,1,1,1,1
PETR4,1.01,60,2020-11-04,1,0.01,1,1,1,1
PETR4,1.01,60,2020-11-05,1,0.01,1,1,1,1
PETR4,1.01,60,2020-11-06,1,0.01,1,1,1,1
PETR4,1.01,60,2020-11-09,1,0.01,1,1,1,1
PETR4,1.01,60,2020-11-10,1,0.01,1,1,1,1
PETR4,1.01,60,2020-11-11,1,0.01,0,1,1,0
PETR4,1.01,60,2020-11-12,1,0.01,1,1,1,1
PETR4,1.01,60,2020-11-13,1,0.01,1,1,1,1
PETR4,1.01,60,2020-11-16,1,0.01,1,1,1,1
PETR4,1.01,60,2020-11-17,1,0.01,1,1,1,1
PETR4,1.01,60,2020-11-18,1,0.01,1,1,1,1
PETR4,1.01,60,2020-11-19,1,0.01,0,1,1,0
PETR4,1.01,60,2020-11-20,1,0.01,1,1,1,1
PETR4,1.01,60,2020-11-23,1,0.01,1,1,1,1
PETR4,1.01,60,2020-11-24,1,0.01,1,1,1,1
PETR4,1.01,60,2020-11-25,0,-0.013107211474887,1,1,1,1
PETR4,1.01,60,2020-11-26,1,0.01,1,1,1,1
PETR4,1.01,60,2020-11-27,1,0.01,1,0,1,0
PETR4,1.01,60,2020-11-30,1,0.01,1,1,1,1
PETR4,1.01,60,2020-12-01,1,0.01,1,1,1,1
PETR4,1.01,60,2020-12-02,1,0.01,1,1,1,1
PETR4,1.01,60,2020-12-03,1,0.01,1,1,1,1
PETR4,1.01,60,2020-12-04,1,0.01,1,1,1,1
PETR4,1.01,60,2020-12-07,1,0.01,1,1,1,1
PETR4,1.01,60,2020-12-08,1,0.01,1,1,1,1
PETR4,1.01,60,2020-12-09,1,0.01,1,1,1,1
PETR4,1.01,60,2020-12-10,1,0.01,1,1,1,1
PETR4,1.01,60,2020-12-11,1,0.01,1,1,1,1
PETR4,1.01,60,2020-12-14,1,0.01,1,1,1,1
PETR4,1.01,60,2020-12-15,1,0.01,1,1,1,1
PETR4,1.01,60,2020-12-16,0,-0.0360423993836949,1,1,1,1
PETR4,1.01,60,2020-12-17,0,-0.005338063598401,1,1,1,1
PETR4,1.01,60,2020-12-18,1,0.01,1,0,1,0
PETR4,1.01,60,2020-12-21,1,0.01,1,0,1,0
PETR4,1.01,60,2020-12-22,1,0.01,1,1,1,1
PETR4,1.01,60,2020-12-23,1,0.01,1,1,1,1
PETR4,1.01,60,2020-12-28,1,0.01,1,1,1,1
PETR4,1.01,60,2020-12-29,1,0.01,1,1,1,1
PETR4,1.01,60,2020-12-30,1,0.01,1,1,1,1
PETR4,1.01,60,2021-01-04,1,0.01,1,1,1,1
PETR4,1.01,60,2021-01-05,1,0.01,1,1,1,1
PETR4,1.01,60,2021-01-06,1,0.01,1,0,1,0
PETR4,1.01,60,2021-01-07,0,-0.0734265237166422,1,1,1,1
PETR4,1.01,60,2021-01-08,1,0.01,1,1,1,1
PETR4,1.01,60,2021-01-11,1,0.01,1,1,1,1
PETR4,1.01,60,2021-01-12,0,-0.0850717360350672,0,1,1,0
PETR4,1.01,60,2021-01-13,1,0.01,1,1,1,1
PETR4,1.01,60,2021-01-14,0,-0.0289156517716615,1,1,1,1
PETR4,1.01,60,2021-01-15,1,0.01,1,1,1,1
PETR4,1.01,60,2021-01-18,1,0.01,1,1,1,1
PETR4,1.01,60,2021-01-19,0,-0.0673575574925343,1,1,1,1
PETR4,1.01,60,2021-01-20,1,0.01,1,1,1,1
PETR4,1.01,60,2021-01-21,1,0.01,1,1,1,1
PETR4,1.01,60,2021-01-22,1,0.01,1,1,1,1
PETR4,1.01,60,2021-01-26,1,0.01,1,1,1,1
PETR4,1.01,60,2021-01-27,1,0.01,1,1,1,1
PETR4,1.01,60,2021-01-28,1,0.01,1,1,1,1
PETR4,1.01,60,2021-01-29,1,0.01,1,1,1,1
PETR4,1.01,60,2021-02-01,1,0.01,1,1,1,1
PETR4,1.01,60,2021-02-02,1,0.01,1,1,1,1
PETR4,1.01,60,2021-02-03,1,0.01,1,1,1,1
PETR4,1.01,60,2021-02-04,1,0.01,1,1,1,1
PETR4,1.01,60,2021-02-05,1,0.01,1,1,1,1
PETR4,1.01,60,2021-02-08,1,0.01,1,1,1,1
PETR4,1.01,60,2021-02-09,1,0.01,1,1,1,1
PETR4,1.01,60,2021-02-10,1,0.01,1,1,1,1
PETR4,1.01,60,2021-02-11,1,0.01,1,1,1,1
PETR4,1.01,60,2021-02-12,1,0.01,1,1,1,1
PETR4,1.01,60,2021-02-17,1,0.01,1,1,1,1
PETR4,1.01,60,2021-02-18,1,0.01,1,1,1,1
PETR4,1.01,60,2021-02-19,1,0.01,1,1,1,1
PETR4,1.01,60,2021-02-22,1,0.01,1,1,1,1
PETR4,1.01,60,2021-02-23,1,0.01,1,1,1,1
PETR4,1.01,60,2021-02-24,1,0.01,1,1,1,1
PETR4,1.01,60,2021-02-25,0,-0.0866378953584631,1,1,1,1
PETR4,1.01,60,2021-02-26,1,0.01,1,1,1,1
PETR4,1.01,60,2021-03-01,1,0.01,1,1,1,1
PETR4,1.01,60,2021-03-02,1,0.01,1,1,1,1
PETR4,1.01,60,2021-03-03,1,0.01,1,1,1,1
PETR4,1.01,60,2021-03-04,1,0.01,1,1,1,1
PETR4,1.01,60,2021-03-05,1,0.01,1,1,1,1
PETR4,1.01,60,2021-03-08,1,0.01,1,1,1,1
PETR4,1.01,60,2021-03-09,1,0.01,1,1,1,1
PETR4,1.01,60,2021-03-10,1,0.01,1,1,1,1
PETR4,1.01,60,2021-03-11,1,0.01,1,1,1,1
PETR4,1.01,60,2021-03-12,1,0.01,1,1,1,1
PETR4,1.01,60,2021-03-15,1,0.01,1,1,1,1
PETR4,1.01,60,2021-03-16,1,0.01,1,1,1,1
PETR4,1.01,60,2021-03-17,0,-0.0452260365335694,1,1,1,1
PETR4,1.01,60,2021-03-18,1,0.01,1,1,1,1
PETR4,1.01,60,2021-03-19,0,-0.0206838604648917,1,1,1,1
PETR4,1.01,60,2021-03-22,1,0.01,1,1,1,1
PETR4,1.01,60,2021-03-23,1,0.01,1,0,1,0
