ativo,target,data,RNA_60,RNA_75,RNA_90,RandomForest_60,RandomForest_75,RandomForest_90,SVC_60,SVC_75,SVC_90,melhor_precision
VALE3,1.01,2020-01-22,0.8070175438596491,0.8133333333333334,0.8390804597701149,1.0,0.8970588235294118,1.0,0.8070175438596491,0.8472222222222222,0.8390804597701149,RandomForest_60 | RandomForest_90
VALE3,1.01,2020-01-23,0.84,0.8266666666666667,0.8222222222222222,1.0,0.8857142857142857,0.891566265060241,0.8103448275862069,0.8493150684931506,0.8409090909090909,RandomForest_60
VALE3,1.01,2020-01-24,0.7962962962962963,0.84,0.8314606741573034,0.9411764705882352,1.0,0.902439024390244,0.8135593220338984,0.8513513513513513,0.8314606741573034,RandomForest_75
VALE3,1.01,2020-01-27,0.8166666666666667,0.8533333333333334,0.8333333333333334,0.8448275862068966,1.0,0.9036144578313252,0.8166666666666667,0.8533333333333334,0.8333333333333334,RandomForest_75
VALE3,1.01,2020-01-28,0.8135593220338984,0.8533333333333334,0.8275862068965517,0.875,1.0,0.9615384615384616,0.8166666666666667,0.8533333333333334,0.8333333333333334,RandomForest_75
VALE3,1.01,2020-01-29,0.8333333333333334,0.8533333333333334,0.8444444444444444,1.0,0.9696969696969696,0.8941176470588236,0.8333333333333334,0.8533333333333334,0.8444444444444444,RandomForest_60
VALE3,1.01,2020-01-30,0.8333333333333334,0.84,0.8444444444444444,1.0,1.0,0.8941176470588236,0.8333333333333334,0.84,0.8444444444444444,RandomForest_60 | RandomForest_75
VALE3,1.01,2020-01-31,0.8305084745762712,0.8356164383561644,0.8444444444444444,1.0,1.0,1.0,0.8333333333333334,0.84,0.8444444444444444,RandomForest_60 | RandomForest_75 | RandomForest_90
VALE3,1.01,2020-02-03,0.8333333333333334,0.8266666666666667,0.8444444444444444,0.8771929824561403,0.96875,0.9047619047619048,0.8333333333333334,0.8266666666666667,0.8444444444444444,RandomForest_75
VALE3,1.01,2020-02-04,0.8333333333333334,0.8266666666666667,0.8444444444444444,0.8928571428571429,0.8985507246376812,0.9036144578313252,0.8333333333333334,0.8266666666666667,0.8444444444444444,RandomForest_90
VALE3,1.01,2020-02-05,0.8333333333333334,0.8266666666666667,0.8333333333333334,1.0,0.96875,0.9487179487179488,0.8333333333333334,0.8266666666666667,0.8333333333333334,RandomForest_60
VALE3,1.01,2020-02-06,0.85,0.84,0.8333333333333334,1.0,0.9,0.9375,0.85,0.84,0.8333333333333334,RandomForest_60
VALE3,1.01,2020-02-07,0.8666666666666667,0.8533333333333334,0.8444444444444444,1.0,0.9142857142857144,1.0,0.8666666666666667,0.8533333333333334,0.8444444444444444,RandomForest_60 | RandomForest_90
VALE3,1.01,2020-02-10,0.8703703703703703,0.8533333333333334,0.8444444444444444,0.912280701754386,1.0,0.926829268292683,0.8666666666666667,0.8533333333333334,0.8444444444444444,RandomForest_75
VALE3,1.01,2020-02-11,0.8809523809523809,0.8513513513513513,0.8444444444444444,0.912280701754386,1.0,0.926829268292683,0.8666666666666667,0.8533333333333334,0.8444444444444444,RandomForest_75
VALE3,1.01,2020-02-12,0.8833333333333333,0.8666666666666667,0.8555555555555555,0.9814814814814816,0.9420289855072465,0.9871794871794872,0.8833333333333333,0.8666666666666667,0.8555555555555555,RandomForest_90
VALE3,1.01,2020-02-13,0.8833333333333333,0.8666666666666667,0.8555555555555555,0.9298245614035088,1.0,1.0,0.8833333333333333,0.8666666666666667,0.8555555555555555,RandomForest_75 | RandomForest_90
VALE3,1.01,2020-02-14,0.8833333333333333,0.8533333333333334,0.8555555555555555,0.9298245614035088,0.9411764705882352,0.9871794871794872,0.8833333333333333,0.8533333333333334,0.8555555555555555,RandomForest_90
VALE3,1.01,2020-02-17,0.8833333333333333,0.8533333333333334,0.8522727272727273,0.9454545454545454,0.9402985074626866,1.0,0.8833333333333333,0.8533333333333334,0.8555555555555555,RandomForest_90
VALE3,1.01,2020-02-18,0.8833333333333333,0.8533333333333334,0.8555555555555555,0.9285714285714286,0.9692307692307692,0.9871794871794872,0.8833333333333333,0.8533333333333334,0.8555555555555555,RandomForest_90
VALE3,1.01,2020-02-19,0.8666666666666667,0.8648648648648649,0.8555555555555555,1.0,0.9411764705882352,0.9871794871794872,0.8666666666666667,0.8533333333333334,0.8555555555555555,RandomForest_60
