ativo|target|data|Close|Open|Low|High|ln_open|ln_high|log_return|log_return_binario|esmble_jan_tot|esmble_jan_par|in_precision|compra_esmble_jan_tot|rend_decisao_esmble_jan_tot|dias_esmble_jan_tot|venda_esmble_jan_tot|compra_esmble_jan_par|rend_decisao_esmble_jan_par|dias_esmble_jan_par|venda_esmble_jan_par|compra_in_precision|rend_decisao_in_precision|dias_in_precision|venda_in_precision|dinheiro_esmble_jan_tot|investido_esmble_jan_tot|qtde_ativos_esmble_jan_tot|capital_teorico_esmble_jan_tot|dinheiro_esmble_jan_par|investido_esmble_jan_par|qtde_ativos_esmble_jan_par|capital_teorico_esmble_jan_par|dinheiro_in_precision|investido_in_precision|qtde_ativos_in_precision|capital_teorico_in_precision
ITUB4|1.01|2020-06-04|15.781222|15.248672|15.077073|15.875897|2.724492417294353|2.764802047119476|0.0403096298251228|1|1|1|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1000.0|0.0|0.0|1000.0|1000.0|0.0|0.0|1000.0|1000.0|0.0|0.0|1000.0
ITUB4|1.01|2020-06-05|16.130337|16.662887|16.083|16.982417|2.813183911041564|2.832178514687305|0.0189946036457411|1|0|1|1.0|16.662887|0.0191761487670174|0.0|16.82951587|16.662887|0.0191761487670174|0.0|16.82951587|16.662887|0.0191761487670174|0.0|16.82951587|0.0|1000.0|60.01360988645004|1000.0|0.0|1000.0|60.01360988645004|1000.0|0.0|1000.0|60.01360988645004|1000.0
ITUB4|1.01|2020-06-08|16.781231|16.33744|16.278268|16.852238|2.7934594064110794|2.8244834669698076|0.0310240605587281|1|1|1|1.0|0.0|0.0|0.0|0.0|16.33744|0.0315103223026373|0.0|16.5008144|16.33744|0.0315103223026373|0.0|16.5008144|1010.0|0.0|0.0|1010.0|0.0|1010.0|61.82119108012026|1010.0|0.0|1010.0|61.82119108012026|1010.0
ITUB4|1.01|2020-06-09|16.449867|16.313771|16.130337|16.710225|2.7920095977564534|2.8160208075076736|0.0240112097512201|1|1|1|1.0|16.313771|0.0243017999946181|0.0|16.47690871|16.313771|0.0243017999946181|0.0|16.47690871|16.313771|0.0243017999946181|0.0|16.47690871|0.0|1010.0|61.91088498177399|1010.0|0.0|1020.0999999999999|62.529993831591725|1020.0999999999999|0.0|1020.0999999999999|62.529993831591725|1020.0999999999999
ITUB4|1.01|2020-06-10|15.733884|16.633301|15.668794|16.668804|2.8114067701996985|2.8135389485379907|0.0021321783382921|0|1|1|1.0|16.633301|0.0021344530469329|1.0|0.0|16.633301|0.0021344530469329|1.0|0.0|16.633301|0.0021344530469329|1.0|0.0|0.0|1020.1|61.32877653088825|1020.1|0.0|1030.301|61.942064296197124|1030.301|0.0|1030.301|61.942064296197124|1030.301
ITUB4|1.01|2020-06-12|15.420271|15.331513|15.159914|15.603705|2.729910383382214|2.7475083860568312|0.0175980026746174|1|1|1|1.0|16.633301|-0.0618996794442666|2.0|0.0|16.633301|-0.0618996794442666|2.0|0.0|16.633301|-0.0618996794442666|2.0|0.0|0.0|1020.1|61.32877653088825|1020.1|0.0|1030.301|61.942064296197124|1030.301|0.0|1030.301|61.942064296197124|1030.301
ITUB4|1.01|2020-06-15|15.059321|14.852218|14.810798|15.378851|2.6981492143649346|2.7329932538745365|0.0348440395096019|1|1|1|1.0|16.633301|-0.0754179822754365|3.0|0.0|16.633301|-0.0754179822754365|3.0|0.0|16.633301|-0.0754179822754365|3.0|0.0|0.0|1020.1|61.32877653088825|1020.1|0.0|1030.301|61.942064296197124|1030.301|0.0|1030.301|61.942064296197124|1030.301
ITUB4|1.01|2020-06-16|15.491278|15.680629|15.207251|15.722049|2.752426128913603|2.7550641220185335|0.0026379931049302|0|1|1|1.0|16.633301|-0.0547847958742524|4.0|15.491278|16.633301|-0.0547847958742524|4.0|15.491278|16.633301|-0.0547847958742524|4.0|15.491278|0.0|1020.1|61.32877653088825|1020.1|0.0|1030.301|61.942064296197124|1030.301|0.0|1030.301|61.942064296197124|1030.301
ITUB4|1.01|2020-06-17|15.686546|15.491278|15.473526|15.940986|2.7402771558672736|2.7688935284126193|0.0286163725453456|1|1|1|1.0|15.491278|0.0290297546787296|0.0|15.64619078|15.491278|0.0290297546787296|0.0|15.64619078|15.491278|0.0290297546787296|0.0|15.64619078|0.0|950.0611266398654|61.32877653088825|950.0611266398654|0.0|959.5617379062639|61.942064296197124|959.5617379062639|0.0|959.5617379062639|61.942064296197124|959.5617379062639
ITUB4|1.01|2020-06-18|16.301937|15.680629|15.574119|16.514957|2.752426128913603|2.8042664551457515|0.0518403262321482|1|1|1|1.0|15.680629|0.0532075594671616|0.0|15.83743529|15.680629|0.0532075594671616|0.0|15.83743529|15.680629|0.0532075594671616|0.0|15.83743529|0.0|959.561737906264|61.19408461907135|959.561737906264|0.0|969.1573552853266|61.80602546526205|969.1573552853266|0.0|969.1573552853266|61.80602546526205|969.1573552853266
