ativo|target|data|Close|Open|Low|High|ln_open|ln_high|log_return|log_return_binario|esmble_jan_tot|esmble_jan_par|in_precision|compra_esmble_jan_tot|rend_decisao_esmble_jan_tot|dias_esmble_jan_tot|venda_esmble_jan_tot|compra_esmble_jan_par|rend_decisao_esmble_jan_par|dias_esmble_jan_par|venda_esmble_jan_par|compra_in_precision|rend_decisao_in_precision|dias_in_precision|venda_in_precision|dinheiro_esmble_jan_tot|investido_esmble_jan_tot|qtde_ativos_esmble_jan_tot|capital_teorico_esmble_jan_tot|dinheiro_esmble_jan_par|investido_esmble_jan_par|qtde_ativos_esmble_jan_par|capital_teorico_esmble_jan_par|dinheiro_in_precision|investido_in_precision|qtde_ativos_in_precision|capital_teorico_in_precision
PETR4|1.01|2020-06-04|6.372321|6.360427|6.256353|6.476396|1.8500955134631312|1.868164182803193|0.0180686693400615|1|1|1|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1000.0|0.0|0.0|1000.0|1000.0|0.0|0.0|1000.0|1000.0|0.0|0.0|1000.0
PETR4|1.01|2020-06-05|6.571549|6.628047|6.559655|6.848089|1.89131019066772|1.9239696352503144|0.0326594445825942|1|1|1|1.0|6.628047|0.0331986179337594|0.0|6.694327469999999|6.628047|0.0331986179337594|0.0|6.694327469999999|6.628047|0.0331986179337594|0.0|6.694327469999999|0.0|1000.0|150.87400557057003|1000.0|0.0|1000.0|150.87400557057003|1000.0|0.0|1000.0|150.87400557057003|1000.0
PETR4|1.01|2020-06-08|6.699412|6.705359|6.544787|6.717253|1.9029070574330496|1.9046792911999304|0.0017722337668806|0|1|1|1.0|6.705359|0.0017738051012631|1.0|0.0|6.705359|0.0017738051012631|1.0|0.0|6.705359|0.0017738051012631|1.0|0.0|0.0|1009.9999999999999|150.62579050577307|1009.9999999999999|0.0|1009.9999999999999|150.62579050577307|1009.9999999999999|0.0|1009.9999999999999|150.62579050577307|1009.9999999999999
PETR4|1.01|2020-06-09|6.458554|6.550734|6.434766|6.553708|1.8795771044374905|1.8800309963393445|0.0004538919018541|0|1|1|1.0|6.705359|-0.0226163878772187|2.0|0.0|6.705359|-0.0226163878772187|2.0|0.0|6.705359|-0.0226163878772187|2.0|0.0|0.0|1009.9999999999999|150.62579050577307|1009.9999999999999|0.0|1009.9999999999999|150.62579050577307|1009.9999999999999|0.0|1009.9999999999999|150.62579050577307|1009.9999999999999
PETR4|1.01|2020-06-10|6.363401|6.509105|6.244459|6.512078|1.8732019659703552|1.8736586065154828|0.0004566405451273|0|1|1|1.0|6.705359|-0.0288248548660854|3.0|0.0|6.705359|-0.0288248548660854|3.0|0.0|6.705359|-0.0288248548660854|3.0|0.0|0.0|1009.9999999999999|150.62579050577307|1009.9999999999999|0.0|1009.9999999999999|150.62579050577307|1009.9999999999999|0.0|1009.9999999999999|150.62579050577307|1009.9999999999999
PETR4|1.01|2020-06-12|6.125516|6.131464|5.976839|6.295009|1.813433546882476|1.8397570972014048|0.0263235503189287|1|1|1|1.0|6.705359|-0.0611973199346969|4.0|6.125516|6.705359|-0.0611973199346969|4.0|6.125516|6.705359|-0.0611973199346969|4.0|6.125516|0.0|1009.9999999999999|150.62579050577307|1009.9999999999999|0.0|1009.9999999999999|150.62579050577307|1009.9999999999999|0.0|1009.9999999999999|150.62579050577307|1009.9999999999999
PETR4|1.01|2020-06-15|6.155252|5.890606|5.81032|6.27122|1.773358878618946|1.8359709130695836|0.0626120344506375|1|1|1|1.0|5.890606|0.0646137256506375|0.0|5.94951206|5.890606|0.0646137256506375|0.0|5.94951206|5.890606|0.0646137256506375|0.0|5.94951206|0.0|922.660689755761|156.6325586460478|922.660689755761|0.0|922.660689755761|156.6325586460478|922.660689755761|0.0|922.660689755761|156.6325586460478|922.660689755761
PETR4|1.01|2020-06-16|6.35448|6.410977|6.295009|6.515052|1.8580116774148443|1.8741151921259227|0.0161035147110781|1|1|1|1.0|6.410977|0.0162338751176302|0.0|6.47508677|6.410977|0.0162338751176302|0.0|6.47508677|6.410977|0.0162338751176302|0.0|6.47508677|0.0|931.8872966533187|145.35807828562147|931.8872966533187|0.0|931.8872966533187|145.35807828562147|931.8872966533187|0.0|931.8872966533187|145.35807828562147|931.8872966533187
PETR4|1.01|2020-06-17|6.375295|6.387189|6.289062|6.49721|1.8542942654990813|1.8713728539864651|0.0170785884873838|1|1|1|1.0|6.387189|0.0172252613786752|0.0|6.45106089|6.387189|0.0172252613786752|0.0|6.45106089|6.387189|0.0172252613786752|0.0|6.45106089|0.0|941.2061696198518|147.35843414369793|941.2061696198518|0.0|941.2061696198518|147.35843414369793|941.2061696198518|0.0|941.2061696198518|147.35843414369793|941.2061696198518
PETR4|1.01|2020-06-18|6.422872|6.297982|6.268247|6.473422|1.840229264624574|1.8677048713206248|0.0274756066960504|1|1|1|1.0|6.297982|0.0278565419844007|0.0|6.36096182|6.297982|0.0278565419844007|0.0|6.36096182|6.297982|0.0278565419844007|0.0|6.36096182|0.0|950.6182313160504|150.9401315081641|950.6182313160504|0.0|950.6182313160504|150.9401315081641|950.6182313160504|0.0|950.6182313160504|150.9401315081641|950.6182313160504
PETR4|1.01|2020-06-19|6.384215|6.541814|6.309877|6.607232|1.878214497039733|1.888164806703998|0.009950309664265|0|1|1|1.0|6.541814|0.0099999785992081|1.0|0.0|6.541814|0.0099999785992081|1.0|0.0|6.541814|0.0099999785992081|1.0|0.0|0.0|960.1244136292107|146.76730546438813|960.1244136292107|0.0|960.1244136292107|146.76730546438813|960.1244136292107|0.0|960.1244136292107|146.76730546438813|960.1244136292107
PETR4|1.01|2020-06-22|6.229591|6.422872|6.214723|6.422872|1.8598653696947067|1.8598653696947067|0.0|0|1|1|1.0|6.541814|-0.0181818070645236|2.0|0.0|6.541814|-0.0181818070645236|2.0|0.0|6.541814|-0.0181818070645236|2.0|0.0|0.0|960.1244136292107|146.76730546438813|960.1244136292107|0.0|960.1244136292107|146.76730546438813|960.1244136292107|0.0|960.1244136292107|146.76730546438813|960.1244136292107
PETR4|1.01|2020-06-23|6.437739|6.309877|6.286088|6.562629|1.8421161834946709|1.8813912848674|0.0392751013727294|1|1|1|1.0|6.541814|0.0031818391657116|3.0|0.0|6.541814|0.0031818391657116|3.0|0.0|6.541814|0.0031818391657116|3.0|0.0|0.0|960.1244136292107|146.76730546438813|960.1244136292107|0.0|960.1244136292107|146.76730546438813|960.1244136292107|0.0|960.1244136292107|146.76730546438813|960.1244136292107
PETR4|1.01|2020-06-24|6.244459|6.390163|6.158226|6.410977|1.854759776671303|1.8580116774148443|0.0032519007435412|0|1|1|1.0|6.541814|-0.0200001100612153|4.0|6.244459|6.541814|-0.0200001100612153|4.0|6.244459|6.541814|-0.0200001100612153|4.0|6.244459|0.0|960.1244136292107|146.76730546438813|960.1244136292107|0.0|960.1244136292107|146.76730546438813|960.1244136292107|0.0|960.1244136292107|146.76730546438813|960.1244136292107
